dataset	seeds_requested	n_splats	psnr_db	bpv_splat	cr_vs_raw
kidney_dapi	1000	944	22.5205	0.072	444.3
kidney_dapi	2000	1961	24.2251	0.1496	213.9
kidney_dapi	4000	3953	26.4298	0.3016	106.1
kidney_dapi	8000	7926	29.5485	0.6047	52.9
kidney_dapi	16000	15932	31.8049	1.2155	26.3
kidney_dapi	32000	31654	33.687	2.415	13.3
kidney_dapi	64000	63046	35.5303	4.81	6.7
kidney_dapi	128000	125200	36.4195	9.552	3.4
kidney_dapi	256000	251712	36.7507	19.2041	1.7
kidney_dapi	512000	505368	37.3345	38.5565	0.8
kidney_actin	1000	940	21.0526	0.0717	446.2
kidney_actin	2000	1942	22.2704	0.1482	216.0
kidney_actin	4000	3922	23.9775	0.2992	106.9
kidney_actin	8000	7847	26.1002	0.5987	53.5
kidney_actin	16000	15808	28.4765	1.2061	26.5
kidney_actin	32000	31340	30.5434	2.3911	13.4
kidney_actin	64000	62453	33.1317	4.7648	6.7
kidney_actin	128000	124259	35.4052	9.4802	3.4
kidney_actin	256000	249324	36.7041	19.0219	1.7
kidney_actin	512000	502672	37.102	38.3508	0.8
opencell_map4_ch0	1000	894	25.101	0.0156	2053.7
opencell_map4_ch0	2000	1938	26.3305	0.0338	947.4
opencell_map4_ch0	4000	3864	27.2817	0.0673	475.2
opencell_map4_ch0	8000	8074	27.8609	0.1407	227.4
opencell_map4_ch0	16000	16305	28.147	0.2842	112.6
opencell_map4_ch0	32000	32312	28.3331	0.5632	56.8
opencell_map4_ch0	64000	62895	28.5585	1.0962	29.2
opencell_map4_ch0	128000	125247	28.933	2.183	14.7
opencell_map4_ch0	256000	250747	29.5153	4.3703	7.3
opencell_map4_ch0	512000	503467	29.9287	8.775	3.6
opencell_map4_ch1	1000	893	21.5251	0.0156	2056.0
opencell_map4_ch1	2000	1941	22.4411	0.0338	945.9
opencell_map4_ch1	4000	3819	23.3865	0.0666	480.8
opencell_map4_ch1	8000	8093	24.2025	0.1411	226.9
opencell_map4_ch1	16000	16274	24.7	0.2836	112.8
opencell_map4_ch1	32000	32359	25.149	0.564	56.7
opencell_map4_ch1	64000	62138	25.5797	1.083	29.5
opencell_map4_ch1	128000	125136	26.0704	2.181	14.7
opencell_map4_ch1	256000	250818	26.7309	4.3716	7.3
opencell_map4_ch1	512000	500626	27.5944	8.7255	3.7
organoid_ch0	1000	947	32.6486	0.0172	1857.2
organoid_ch0	2000	1822	34.4816	0.0332	965.3
organoid_ch0	4000	3573	36.332	0.065	492.2
organoid_ch0	8000	7100	37.4497	0.1292	247.7
organoid_ch0	16000	13616	38.3076	0.2477	129.2
organoid_ch0	32000	28175	39.0247	0.5126	62.4
organoid_ch0	64000	56594	39.7686	1.0297	31.1
organoid_ch0	128000	119906	40.1524	2.1816	14.7
organoid_ch0	256000	244822	40.5411	4.4544	7.2
organoid_ch0	512000	497361	40.9995	9.0491	3.5
celegans_t100	1000	978	38.3898	0.0291	1099.0
celegans_t100	2000	1976	39.0025	0.0588	543.9
celegans_t100	4000	3970	39.2183	0.1182	270.7
celegans_t100	8000	7947	39.3071	0.2366	135.2
celegans_t100	16000	15900	39.3457	0.4734	67.6
celegans_t100	32000	31815	39.3774	0.9472	33.8
celegans_t100	64000	63668	39.4328	1.8956	16.9
celegans_t100	128000	127304	39.5473	3.7903	8.4
celegans_t100	256000	254402	39.9754	7.5744	4.2
celegans_t100	512000	508611	40.4014	15.143	2.1
tribolium	4000	3959	37.1535	0.0127	2512.2
tribolium	1000	991	29.8798	0.0032	10036.0
tribolium	2000	1968	31.3133	0.0063	5053.7
tribolium	8000	7723	40.2631	0.0248	1287.8
tribolium	16000	15813	41.9932	0.0509	629.0
tribolium	32000	31770	42.6017	0.1022	313.1
tribolium	64000	64790	42.6845	0.2085	153.5
tribolium	128000	127448	42.69	0.4101	78.0
tribolium	256000	256377	42.6337	0.8249	38.8
tribolium	512000	510114	42.6641	1.6413	19.5
cells3d_nuclei	1000	952	31.2757	0.0775	413.0
cells3d_nuclei	2000	2035	32.6087	0.1656	193.2
cells3d_nuclei	4000	3976	33.6712	0.3236	98.9
cells3d_nuclei	8000	8128	34.459	0.6615	48.4
cells3d_nuclei	16000	15932	35.0178	1.2965	24.7
cells3d_nuclei	32000	31878	35.4428	2.5942	12.3
cells3d_nuclei	64000	63774	35.8588	5.1899	6.2
cells3d_nuclei	128000	127587	36.3076	10.3831	3.1
cells3d_nuclei	256000	255168	37.512	20.7656	1.5
cells3d_nuclei	512000	510050	39.2183	41.508	0.8
cells3d_membrane	1000	962	37.2064	0.0783	408.7
cells3d_membrane	2000	2037	39.514	0.1658	193.0
cells3d_membrane	4000	3963	41.8718	0.3225	99.2
cells3d_membrane	8000	8099	43.9694	0.6591	48.6
cells3d_membrane	16000	15889	45.6073	1.2931	24.7
cells3d_membrane	32000	31836	46.5456	2.5908	12.4
cells3d_membrane	64000	63722	47.2035	5.1857	6.2
cells3d_membrane	128000	127506	47.6543	10.3765	3.1
cells3d_membrane	256000	255052	48.1049	20.7562	1.5
cells3d_membrane	512000	510135	48.3253	41.5149	0.8
opencell_lmnb1_ch0	1000	848	22.8187	0.0067	4754.7
opencell_lmnb1_ch0	2000	1843	24.2373	0.0146	2187.7
opencell_lmnb1_ch0	4000	3835	24.8283	0.0304	1051.4
opencell_lmnb1_ch0	8000	7999	25.201	0.0635	504.1
opencell_lmnb1_ch0	16000	15676	25.3658	0.1244	257.2
opencell_lmnb1_ch0	32000	31961	25.4656	0.2537	126.2
opencell_lmnb1_ch0	64000	63703	25.5695	0.5056	63.3
opencell_lmnb1_ch0	128000	125345	25.74	0.9948	32.2
opencell_lmnb1_ch0	256000	250963	26.0534	1.9918	16.1
opencell_lmnb1_ch0	512000	501901	26.5642	3.9833	8.0
opencell_lmnb1_ch1	1000	726	21.5298	0.0058	5553.7
opencell_lmnb1_ch1	2000	1714	26.0532	0.0136	2352.4
opencell_lmnb1_ch1	4000	3676	29.3147	0.0292	1096.8
opencell_lmnb1_ch1	8000	7787	31.5769	0.0618	517.8
opencell_lmnb1_ch1	16000	14827	32.8589	0.1177	271.9
opencell_lmnb1_ch1	32000	31100	33.4583	0.2468	129.6
opencell_lmnb1_ch1	64000	62106	33.7389	0.4929	64.9
opencell_lmnb1_ch1	128000	121923	34.0421	0.9676	33.1
opencell_lmnb1_ch1	256000	245785	34.4439	1.9507	16.4
opencell_lmnb1_ch1	512000	498547	34.9632	3.9567	8.1
acto3d_heart_nuclei	1000	879	26.3709	0.0028	11345.0
acto3d_heart_nuclei	2000	1867	26.6986	0.006	5341.3
acto3d_heart_nuclei	4000	3357	28.4804	0.0108	2970.6
acto3d_heart_nuclei	8000	7624	29.7188	0.0245	1308.0
acto3d_heart_nuclei	16000	15107	30.7098	0.0485	660.1
acto3d_heart_nuclei	32000	30182	31.9369	0.0969	330.4
acto3d_heart_nuclei	64000	62023	33.0729	0.199	160.8
acto3d_heart_nuclei	128000	118174	35.8855	0.3792	84.4
acto3d_heart_nuclei	256000	211532	38.5062	0.6788	47.1
acto3d_heart_nuclei	512000	400701	40.7027	1.2858	24.9
