dataset	shape	n_voxels_M	n2s_optimal_seeds	n2s_genuine_peak	n_splats	psnr_db	ssim	held_out_psnr	raw_MB	splat_MB	cr_vs_raw	bpv_splat	fit_time_s
kidney_dapi	16x512x512	4.2	64000	True	63046	35.5	0.978	33.6	16.8	2.52	6.7	4.81	102.9
kidney_actin	16x512x512	4.2	128000	True	124259	35.4	0.985	30.8	16.8	4.97	3.4	9.48	114.8
opencell_map4_ch0	51x600x600	18.4	32000	True	32312	28.3	0.675	28.0	73.4	1.29	56.8	0.563	10.8
opencell_map4_ch1	51x600x600	18.4	64000	True	62138	25.6	0.633	24.9	73.4	2.49	29.5	1.083	17.6
organoid_ch0	236x275x271	17.6	32000	True	28175	39.0	0.933	37.7	70.4	1.13	62.4	0.513	14.4
celegans_t100	41x512x512	10.7	16000	True	15900	39.3	0.893	39.3	43.0	0.64	67.6	0.473	9.1
tribolium	991x104x965	99.5	512000	False	510114	42.7	0.994	42.8	397.8	20.4	19.5	1.641	443.2
cells3d_nuclei	60x256x256	3.9	64000	True	63774	35.9	0.883	34.7	15.7	2.55	6.2	5.19	18.1
cells3d_membrane	60x256x256	3.9	64000	True	63722	47.2	0.992	45.5	15.7	2.55	6.2	5.186	12.4
opencell_lmnb1_ch0	112x600x600	40.3	32000	True	31961	25.5	0.514	25.3	161.3	1.28	126.2	0.254	18.0
opencell_lmnb1_ch1	112x600x600	40.3	64000	True	62106	33.7	0.915	33.4	161.3	2.48	64.9	0.493	28.9
acto3d_heart_nuclei	597x174x960	99.7	512000	False	400701	40.7	0.976	40.5	398.9	16.03	24.9	1.286	328.1
