method	knob	type	compressed_bytes	compress_time_s	decompress_time_s	psnr_db	renderable	dataset	raw_bytes	compression_ratio	bpv
quant4b-zstd	4	lossy	874875	0.107	0.018	34.2	False	kidney_dapi	16777216	19.2	1.6687
quant6b-zstd	6	lossy	1742564	0.13	0.017	46.8	False	kidney_dapi	16777216	9.6	3.3237
quant8b-zstd	8	lossy	2881119	0.114	0.014	58.9	False	kidney_dapi	16777216	5.8	5.4953
quant10b-zstd	10	lossy	4547428	0.234	0.022	71.1	False	kidney_dapi	16777216	3.7	8.6735
quant12b-zstd	12	lossy	5658959	0.192	0.02	82.3	False	kidney_dapi	16777216	3.0	10.7936
quant16b-zstd	16	lossy	6883712	0.181	0.019	107.1	False	kidney_dapi	16777216	2.4	13.1296
blosc-lz4-shuffle	lossless	lossless	13990722	0.015	0.006	inf	False	kidney_dapi	16777216	1.2	26.6852
blosc-zstd-shuffle	lossless	lossless	12611326	0.125	0.01	inf	False	kidney_dapi	16777216	1.3	24.0542
blosc-zstd-bitshuffle	lossless	lossless	12945075	1.282	0.008	inf	False	kidney_dapi	16777216	1.3	24.6908
gsplats	1000	lossy+renderable	37760	9.9	0.0	22.5	True	kidney_dapi	16777216	444.3	0.072
gsplats	2000	lossy+renderable	78440	10.2	0.0	24.2	True	kidney_dapi	16777216	213.9	0.1496
gsplats	4000	lossy+renderable	158120	119.3	0.0	26.4	True	kidney_dapi	16777216	106.1	0.3016
gsplats	8000	lossy+renderable	317040	13.7	0.0	29.5	True	kidney_dapi	16777216	52.9	0.6047
gsplats	16000	lossy+renderable	637280	14.0	0.0	31.8	True	kidney_dapi	16777216	26.3	1.2155
gsplats	32000	lossy+renderable	1266160	16.1	0.0	33.7	True	kidney_dapi	16777216	13.3	2.415
gsplats	64000	lossy+renderable	2521840	102.9	0.0	35.5	True	kidney_dapi	16777216	6.7	4.81
gsplats	128000	lossy+renderable	5008000	119.9	0.0	36.4	True	kidney_dapi	16777216	3.4	9.552
gsplats	256000	lossy+renderable	10068480	131.7	0.0	36.8	True	kidney_dapi	16777216	1.7	19.2041
gsplats	512000	lossy+renderable	20214720	31.3	0.0	37.3	True	kidney_dapi	16777216	0.8	38.5565
quant4b-zstd	4	lossy	914026	0.249	0.099	40.4	False	organoid_ch0	70351600	77.0	0.4158
quant6b-zstd	6	lossy	3163820	0.46	0.107	50.0	False	organoid_ch0	70351600	22.2	1.4391
quant8b-zstd	8	lossy	5648423	0.54	0.11	57.6	False	organoid_ch0	70351600	12.5	2.5692
quant10b-zstd	10	lossy	10558884	1.053	0.133	69.2	False	organoid_ch0	70351600	6.7	4.8028
quant12b-zstd	12	lossy	13904581	1.105	0.156	93.4	False	organoid_ch0	70351600	5.1	6.3246
quant16b-zstd	16	lossy	15062734	1.08	0.147	110.4	False	organoid_ch0	70351600	4.7	6.8514
blosc-lz4-shuffle	lossless	lossless	50437360	0.172	0.058	inf	False	organoid_ch0	70351600	1.4	22.9418
blosc-zstd-shuffle	lossless	lossless	30623124	2.372	0.101	inf	False	organoid_ch0	70351600	2.3	13.9292
blosc-zstd-bitshuffle	lossless	lossless	19411390	9.766	0.066	inf	False	organoid_ch0	70351600	3.6	8.8294
gsplats	1000	lossy+renderable	37880	15.6	0.0	32.6	True	organoid_ch0	70351600	1857.2	0.0172
gsplats	2000	lossy+renderable	72880	13.1	0.0	34.5	True	organoid_ch0	70351600	965.3	0.0332
gsplats	4000	lossy+renderable	142920	37.6	0.0	36.3	True	organoid_ch0	70351600	492.2	0.065
gsplats	8000	lossy+renderable	284000	14.1	0.0	37.4	True	organoid_ch0	70351600	247.7	0.1292
gsplats	16000	lossy+renderable	544640	39.9	0.0	38.3	True	organoid_ch0	70351600	129.2	0.2477
gsplats	32000	lossy+renderable	1127000	14.4	0.0	39.0	True	organoid_ch0	70351600	62.4	0.5126
gsplats	64000	lossy+renderable	2263760	16.4	0.0	39.8	True	organoid_ch0	70351600	31.1	1.0297
gsplats	128000	lossy+renderable	4796240	21.8	0.0	40.2	True	organoid_ch0	70351600	14.7	2.1816
gsplats	256000	lossy+renderable	9792880	168.4	0.0	40.5	True	organoid_ch0	70351600	7.2	4.4544
gsplats	512000	lossy+renderable	19894440	204.7	0.0	41.0	True	organoid_ch0	70351600	3.5	9.0491
quant4b-zstd	4	lossy	1097026	0.246	0.068	34.4	False	celegans_t100	42991616	39.2	0.8166
