dataset	shape	n_voxels_M	seeds_requested	n_splats	psnr_db	ssim	raw_MB	blosc_est_MB	splat_MB	cr_vs_raw	bpv_raw	bpv_splat	fit_time_s
kidney_dapi	16x512x512	4.194304	4000	3953	26.4298	0.813735	16.8	5.6	0.16	106.1	32.0	0.302	119.3
kidney_dapi	16x512x512	4.194304	8000	7926	29.5485	0.903658	16.8	5.6	0.32	52.9	32.0	0.605	13.7
kidney_dapi	16x512x512	4.194304	16000	15932	31.8049	0.943116	16.8	5.6	0.64	26.3	32.0	1.216	14.0
kidney_dapi	16x512x512	4.194304	32000	31654	33.687	0.962102	16.8	5.6	1.27	13.3	32.0	2.415	16.1
kidney_dapi	16x512x512	4.194304	64000	63046	35.5303	0.977917	16.8	5.6	2.52	6.7	32.0	4.81	102.9
kidney_dapi	16x512x512	4.194304	128000	125200	36.4195	0.983839	16.8	5.6	5.01	3.4	32.0	9.552	119.9
kidney_actin	16x512x512	4.194304	4000	3922	23.9775	0.658056	16.8	5.6	0.16	106.9	32.0	0.299	11.5
kidney_actin	16x512x512	4.194304	8000	7847	26.1002	0.756634	16.8	5.6	0.31	53.5	32.0	0.599	11.8
kidney_actin	16x512x512	4.194304	16000	15808	28.4765	0.843355	16.8	5.6	0.63	26.5	32.0	1.206	12.5
kidney_actin	16x512x512	4.194304	32000	31340	30.5434	0.895514	16.8	5.6	1.25	13.4	32.0	2.391	16.3
kidney_actin	16x512x512	4.194304	64000	62453	33.1317	0.956756	16.8	5.6	2.5	6.7	32.0	4.765	69.8
kidney_actin	16x512x512	4.194304	128000	124259	35.4052	0.985007	16.8	5.6	4.97	3.4	32.0	9.48	114.8
opencell_map4_ch0	51x600x600	18.36	4000	3864	27.2817	0.662835	73.4	24.5	0.15	475.2	32.0	0.067	8.8
opencell_map4_ch0	51x600x600	18.36	8000	8074	27.8609	0.661915	73.4	24.5	0.32	227.4	32.0	0.141	8.6
opencell_map4_ch0	51x600x600	18.36	16000	16305	28.147	0.667672	73.4	24.5	0.65	112.6	32.0	0.284	9.1
opencell_map4_ch0	51x600x600	18.36	32000	32312	28.3331	0.674528	73.4	24.5	1.29	56.8	32.0	0.563	10.8
opencell_map4_ch0	51x600x600	18.36	64000	62895	28.5585	0.678166	73.4	24.5	2.52	29.2	32.0	1.096	20.4
opencell_map4_ch0	51x600x600	18.36	128000	125247	28.933	0.691067	73.4	24.5	5.01	14.7	32.0	2.183	17.4
opencell_map4_ch1	51x600x600	18.36	4000	3819	23.3865	0.558276	73.4	24.5	0.15	480.8	32.0	0.067	9.6
opencell_map4_ch1	51x600x600	18.36	8000	8093	24.2025	0.587041	73.4	24.5	0.32	226.9	32.0	0.141	9.7
opencell_map4_ch1	51x600x600	18.36	16000	16274	24.7	0.603831	73.4	24.5	0.65	112.8	32.0	0.284	12.0
opencell_map4_ch1	51x600x600	18.36	32000	32359	25.149	0.619514	73.4	24.5	1.29	56.7	32.0	0.564	12.2
opencell_map4_ch1	51x600x600	18.36	64000	62138	25.5797	0.633345	73.4	24.5	2.49	29.5	32.0	1.083	17.6
opencell_map4_ch1	51x600x600	18.36	128000	125136	26.0704	0.64893	73.4	24.5	5.01	14.7	32.0	2.181	114.3
organoid_ch0	236x275x271	17.5879	4000	3573	36.332	0.906933	70.4	23.5	0.14	492.2	32.0	0.065	37.6
organoid_ch0	236x275x271	17.5879	8000	7100	37.4497	0.922984	70.4	23.5	0.28	247.7	32.0	0.129	14.1
organoid_ch0	236x275x271	17.5879	16000	13616	38.3076	0.929762	70.4	23.5	0.54	129.2	32.0	0.248	39.9
organoid_ch0	236x275x271	17.5879	32000	28175	39.0247	0.933147	70.4	23.5	1.13	62.4	32.0	0.513	14.4
organoid_ch0	236x275x271	17.5879	64000	56594	39.7686	0.936908	70.4	23.5	2.26	31.1	32.0	1.03	16.4
organoid_ch0	236x275x271	17.5879	128000	119906	40.1524	0.943394	70.4	23.5	4.8	14.7	32.0	2.182	21.8
celegans_t100	41x512x512	10.747904	4000	3970	39.2183	0.890013	43.0	14.3	0.16	270.7	32.0	0.118	9.0
celegans_t100	41x512x512	10.747904	8000	7947	39.3071	0.891845	43.0	14.3	0.32	135.2	32.0	0.237	8.0
celegans_t100	41x512x512	10.747904	16000	15900	39.3457	0.892874	43.0	14.3	0.64	67.6	32.0	0.473	9.1
celegans_t100	41x512x512	10.747904	32000	31815	39.3774	0.893781	43.0	14.3	1.27	33.8	32.0	0.947	9.8
celegans_t100	41x512x512	10.747904	64000	63668	39.4328	0.895347	43.0	14.3	2.55	16.9	32.0	1.896	10.2
celegans_t100	41x512x512	10.747904	128000	127304	39.5473	0.898511	43.0	14.3	5.09	8.4	32.0	3.79	12.1
tribolium	991x104x965	99.45676	4000	3959	37.1535	0.98087	397.8	132.6	0.16	2512.2	32.0	0.013	254.9
tribolium	991x104x965	99.45676	8000	7723	40.2631	0.988526	397.8	132.6	0.31	1287.8	32.0	0.025	65.4
tribolium	991x104x965	99.45676	16000	15813	41.9932	0.99184	397.8	132.6	0.63	629.0	32.0	0.051	57.9
tribolium	991x104x965	99.45676	32000	31770	42.6017	0.993117	397.8	132.6	1.27	313.1	32.0	0.102	58.3
tribolium	991x104x965	99.45676	64000	64790	42.6845	0.993176	397.8	132.6	2.59	153.5	32.0	0.208	390.6
tribolium	991x104x965	99.45676	128000	127448	42.69	0.99364	397.8	132.6	5.1	78.0	32.0	0.41	449.7
cells3d_nuclei	60x256x256	3.93216	4000	3976	33.6712	0.824198	15.7	5.2	0.16	98.9	32.0	0.324	12.7
cells3d_nuclei	60x256x256	3.93216	8000	8128	34.459	0.84488	15.7	5.2	0.33	48.4	32.0	0.661	10.2
cells3d_nuclei	60x256x256	3.93216	16000	15932	35.0178	0.860411	15.7	5.2	0.64	24.7	32.0	1.297	9.8
cells3d_nuclei	60x256x256	3.93216	32000	31878	35.4428	0.871488	15.7	5.2	1.28	12.3	32.0	2.594	11.2
cells3d_nuclei	60x256x256	3.93216	64000	63774	35.8588	0.882666	15.7	5.2	2.55	6.2	32.0	5.19	18.1
cells3d_nuclei	60x256x256	3.93216	128000	127587	36.3076	0.898878	15.7	5.2	5.1	3.1	32.0	10.383	18.2
cells3d_membrane	60x256x256	3.93216	4000	3963	41.8718	0.962092	15.7	5.2	0.16	99.2	32.0	0.323	50.2
cells3d_membrane	60x256x256	3.93216	8000	8099	43.9694	0.9766	15.7	5.2	0.32	48.6	32.0	0.659	118.3
cells3d_membrane	60x256x256	3.93216	16000	15889	45.6073	0.985144	15.7	5.2	0.64	24.7	32.0	1.293	16.4
cells3d_membrane	60x256x256	3.93216	32000	31836	46.5456	0.988941	15.7	5.2	1.27	12.4	32.0	2.591	13.7
cells3d_membrane	60x256x256	3.93216	64000	63722	47.2035	0.991867	15.7	5.2	2.55	6.2	32.0	5.186	12.4
cells3d_membrane	60x256x256	3.93216	128000	127506	47.6543	0.993612	15.7	5.2	5.1	3.1	32.0	10.376	14.2
opencell_lmnb1_ch0	112x600x600	40.32	4000	3835	24.8283	0.501744	161.3	53.8	0.15	1051.4	32.0	0.03	15.8
opencell_lmnb1_ch0	112x600x600	40.32	8000	7999	25.201	0.509291	161.3	53.8	0.32	504.1	32.0	0.063	15.9
opencell_lmnb1_ch0	112x600x600	40.32	16000	15676	25.3658	0.512243	161.3	53.8	0.63	257.2	32.0	0.124	18.9
opencell_lmnb1_ch0	112x600x600	40.32	32000	31961	25.4656	0.513565	161.3	53.8	1.28	126.2	32.0	0.254	18.0
opencell_lmnb1_ch0	112x600x600	40.32	64000	63703	25.5695	0.517947	161.3	53.8	2.55	63.3	32.0	0.506	30.5
opencell_lmnb1_ch0	112x600x600	40.32	128000	125345	25.74	0.524422	161.3	53.8	5.01	32.2	32.0	0.995	29.6
opencell_lmnb1_ch1	112x600x600	40.32	4000	3676	29.3147	0.905016	161.3	53.8	0.15	1096.8	32.0	0.029	14.1
opencell_lmnb1_ch1	112x600x600	40.32	8000	7787	31.5769	0.909463	161.3	53.8	0.31	517.8	32.0	0.062	15.0
opencell_lmnb1_ch1	112x600x600	40.32	16000	14827	32.8589	0.918294	161.3	53.8	0.59	271.9	32.0	0.118	27.1
opencell_lmnb1_ch1	112x600x600	40.32	32000	31100	33.4583	0.909411	161.3	53.8	1.24	129.6	32.0	0.247	19.0
opencell_lmnb1_ch1	112x600x600	40.32	64000	62106	33.7389	0.915357	161.3	53.8	2.48	64.9	32.0	0.493	28.9
opencell_lmnb1_ch1	112x600x600	40.32	128000	121923	34.0421	0.921879	161.3	53.8	4.88	33.1	32.0	0.968	60.3
acto3d_heart_nuclei	597x174x960	99.72288	4000	3357	28.4804	0.747193	398.9	133.0	0.13	2970.6	32.0	0.011	38.8
acto3d_heart_nuclei	597x174x960	99.72288	8000	7624	29.7188	0.774666	398.9	133.0	0.3	1308.0	32.0	0.024	30.1
