dataset	seeds_requested	n_iters	n_splats_final	psnr_db	ssim	mse	rel_l2	fit_time_s
acto3d_heart_nuclei	1000	50	774	25.3557	0.640676	0.00291358	0.586345	6.08
acto3d_heart_nuclei	1000	100	778	25.4481	0.644368	0.00285229	0.580145	2.27
acto3d_heart_nuclei	1000	200	780	25.5867	0.651782	0.00276266	0.570958	4.48
acto3d_heart_nuclei	1000	500	794	25.9948	0.677997	0.00251487	0.544751	10.66
acto3d_heart_nuclei	1000	1000	826	26.2887	0.699714	0.00235034	0.526630	20.49
acto3d_heart_nuclei	1000	2000	874	26.3728	0.703896	0.00230524	0.521553	40.77
acto3d_heart_nuclei	1000	3000	885	26.3810	0.704241	0.00230089	0.521060	59.55
acto3d_heart_nuclei	1000	5000	875	26.3753	0.703981	0.00230392	0.521403	97.57
acto3d_heart_nuclei	1000	8000	890	26.3704	0.703796	0.00230654	0.521700	157.54
acto3d_heart_nuclei	1000	12000	885	26.3718	0.703857	0.00230578	0.521614	237.44
acto3d_heart_nuclei	1000	20000	874	26.3715	0.703850	0.00230596	0.521634	394.57
acto3d_heart_nuclei	4000	50	3106	26.0685	0.671603	0.00247257	0.540150	1.60
acto3d_heart_nuclei	4000	100	3138	26.3551	0.680736	0.00231468	0.522619	2.07
acto3d_heart_nuclei	4000	200	3159	27.1611	0.698428	0.00192259	0.476303	4.03
acto3d_heart_nuclei	4000	500	3098	27.8658	0.725961	0.00163462	0.439186	9.80
acto3d_heart_nuclei	4000	1000	3126	28.3238	0.742658	0.00147101	0.416628	18.77
acto3d_heart_nuclei	4000	2000	3378	28.4652	0.746829	0.00142389	0.409900	36.30
acto3d_heart_nuclei	4000	3000	3368	28.4798	0.747146	0.00141913	0.409215	53.40
acto3d_heart_nuclei	4000	5000	3379	28.4789	0.746885	0.00141942	0.409256	87.41
acto3d_heart_nuclei	4000	8000	3373	28.5024	0.747303	0.00141175	0.408150	138.41
acto3d_heart_nuclei	4000	12000	3343	28.4824	0.747391	0.00141826	0.409090	205.78
acto3d_heart_nuclei	4000	20000	3331	28.5002	0.747897	0.00141248	0.408255	343.18
acto3d_heart_nuclei	16000	50	11788	27.4626	0.690501	0.00179367	0.460056	1.61
acto3d_heart_nuclei	16000	100	11923	28.2737	0.716773	0.00148811	0.419042	2.32
acto3d_heart_nuclei	16000	200	12121	29.0664	0.741750	0.00123982	0.382489	4.52
acto3d_heart_nuclei	16000	500	12420	29.9967	0.775232	0.00100076	0.343641	11.48
acto3d_heart_nuclei	16000	1000	12380	30.4477	0.790282	0.00090204	0.326252	22.70
acto3d_heart_nuclei	16000	2000	13152	30.6312	0.794159	0.00086473	0.319434	45.94
acto3d_heart_nuclei	16000	3000	14358	30.6615	0.794484	0.00085873	0.318323	68.06
acto3d_heart_nuclei	16000	5000	15140	30.6679	0.794682	0.00085745	0.318086	112.26
acto3d_heart_nuclei	16000	8000	15114	30.7086	0.795846	0.00084945	0.316598	175.69
acto3d_heart_nuclei	16000	12000	15170	30.6407	0.793876	0.00086284	0.319084	276.13
acto3d_heart_nuclei	16000	20000	15100	30.7166	0.795846	0.00084789	0.316308	438.53
acto3d_heart_nuclei	64000	50	47385	29.0304	0.734417	0.00125014	0.384078	1.55
acto3d_heart_nuclei	64000	100	47590	30.1640	0.765796	0.00096294	0.337086	2.22
acto3d_heart_nuclei	64000	200	47921	31.2774	0.798642	0.00074517	0.296529	4.28
acto3d_heart_nuclei	64000	500	48423	32.3959	0.835194	0.00057598	0.260702	10.31
acto3d_heart_nuclei	64000	1000	48795	32.9461	0.852197	0.00050745	0.244701	20.10
acto3d_heart_nuclei	64000	2000	49639	33.3055	0.859273	0.00046714	0.234781	39.35
acto3d_heart_nuclei	64000	3000	50788	33.3479	0.859879	0.00046260	0.233638	58.25
acto3d_heart_nuclei	64000	5000	53069	33.4184	0.861070	0.00045516	0.231751	96.15
acto3d_heart_nuclei	64000	8000	56736	33.4651	0.861386	0.00045029	0.230508	152.22
acto3d_heart_nuclei	64000	12000	60215	33.5453	0.862840	0.00044205	0.228389	227.38
acto3d_heart_nuclei	64000	20000	62059	33.1025	0.861085	0.00048950	0.240334	377.76
acto3d_heart_nuclei	256000	50	190209	31.5555	0.808035	0.00069895	0.287186	1.35
acto3d_heart_nuclei	256000	100	190199	32.9132	0.844896	0.00051131	0.245631	1.91
acto3d_heart_nuclei	256000	200	190863	34.4215	0.882059	0.00036129	0.206475	3.74
acto3d_heart_nuclei	256000	500	191617	36.0525	0.919131	0.00024817	0.171126	9.20
acto3d_heart_nuclei	256000	1000	191594	37.2412	0.938760	0.00018875	0.149238	18.07
acto3d_heart_nuclei	256000	2000	189092	38.3240	0.949306	0.00014710	0.131747	35.49
acto3d_heart_nuclei	256000	3000	190443	38.3754	0.949544	0.00014536	0.130969	53.08
acto3d_heart_nuclei	256000	5000	194103	38.3361	0.948810	0.00014669	0.131563	87.75
acto3d_heart_nuclei	256000	8000	196592	38.4300	0.950136	0.00014355	0.130148	139.16
acto3d_heart_nuclei	256000	12000	202545	38.3982	0.949518	0.00014461	0.130627	209.01
acto3d_heart_nuclei	256000	20000	212168	38.4821	0.950698	0.00014184	0.129370	347.23
