dataset	seeds_requested	n_iters	n_splats_final	psnr_db	ssim	mse	rel_l2	fit_time_s
celegans_t100	1000	50	984	37.4455	0.866498	0.00018007	0.465602	2.37
celegans_t100	1000	100	987	37.8406	0.873667	0.00016441	0.444897	0.61
celegans_t100	1000	200	989	38.2564	0.879983	0.00014940	0.424101	1.21
celegans_t100	1000	500	981	38.3759	0.881482	0.00014535	0.418310	3.08
celegans_t100	1000	1000	977	38.3943	0.881528	0.00014473	0.417423	6.03
celegans_t100	1000	2000	978	38.3926	0.881554	0.00014479	0.417503	11.97
celegans_t100	1000	3000	978	38.3891	0.881527	0.00014491	0.417672	18.04
celegans_t100	1000	5000	978	38.3913	0.881547	0.00014483	0.417567	29.98
celegans_t100	1000	8000	978	38.3898	0.881529	0.00014488	0.417641	47.32
celegans_t100	1000	12000	978	38.3915	0.881532	0.00014483	0.417556	71.16
celegans_t100	1000	20000	978	38.3967	0.881579	0.00014465	0.417307	117.59
celegans_t100	4000	50	3948	38.5384	0.880486	0.00014001	0.410554	0.52
celegans_t100	4000	100	3958	38.9099	0.885733	0.00012853	0.393366	0.63
celegans_t100	4000	200	3966	39.0859	0.888313	0.00012343	0.385478	1.23
celegans_t100	4000	500	3972	39.1859	0.889661	0.00012062	0.381064	3.06
celegans_t100	4000	1000	3969	39.2107	0.889834	0.00011993	0.379977	6.05
celegans_t100	4000	2000	3970	39.2158	0.889993	0.00011979	0.379755	11.94
celegans_t100	4000	3000	3969	39.2134	0.889884	0.00011986	0.379858	18.01
celegans_t100	4000	5000	3970	39.2191	0.890038	0.00011970	0.379611	29.73
celegans_t100	4000	8000	3970	39.2171	0.890004	0.00011975	0.379695	47.51
celegans_t100	4000	12000	3970	39.2134	0.889946	0.00011986	0.379857	71.48
celegans_t100	4000	20000	3970	39.2162	0.890007	0.00011978	0.379734	119.25
celegans_t100	16000	50	15889	38.9676	0.887768	0.00012683	0.390760	0.38
celegans_t100	16000	100	15897	39.1730	0.890544	0.00012098	0.381630	0.68
celegans_t100	16000	200	15905	39.2754	0.891900	0.00011816	0.377155	1.33
celegans_t100	16000	500	15905	39.3304	0.892735	0.00011667	0.374774	3.21
celegans_t100	16000	1000	15900	39.3456	0.892890	0.00011626	0.374121	6.42
celegans_t100	16000	2000	15900	39.3470	0.892916	0.00011622	0.374059	12.47
celegans_t100	16000	3000	15900	39.3449	0.892866	0.00011628	0.374149	18.21
celegans_t100	16000	5000	15900	39.3457	0.892879	0.00011626	0.374115	30.19
celegans_t100	16000	8000	15901	39.3453	0.892881	0.00011627	0.374132	48.37
celegans_t100	16000	12000	15901	39.3463	0.892907	0.00011624	0.374091	72.14
celegans_t100	16000	20000	15900	39.3473	0.892913	0.00011622	0.374047	120.80
celegans_t100	64000	50	63649	39.1846	0.892219	0.00012065	0.381121	0.41
celegans_t100	64000	100	63663	39.2877	0.893678	0.00011782	0.376621	0.68
celegans_t100	64000	200	63674	39.3654	0.894465	0.00011573	0.373271	1.36
celegans_t100	64000	500	63672	39.4190	0.895157	0.00011432	0.370974	3.36
celegans_t100	64000	1000	63667	39.4289	0.895276	0.00011405	0.370549	6.70
celegans_t100	64000	2000	63667	39.4304	0.895302	0.00011401	0.370484	13.10
celegans_t100	64000	3000	63669	39.4306	0.895319	0.00011401	0.370477	19.56
celegans_t100	64000	5000	63667	39.4325	0.895343	0.00011396	0.370396	31.95
celegans_t100	64000	8000	63667	39.4309	0.895313	0.00011400	0.370463	50.44
celegans_t100	64000	12000	63667	39.4316	0.895317	0.00011398	0.370433	75.57
celegans_t100	64000	20000	63668	39.4313	0.895318	0.00011399	0.370449	126.00
celegans_t100	256000	50	254556	39.4325	0.898424	0.00011396	0.370398	0.50
celegans_t100	256000	100	254611	39.5151	0.899975	0.00011181	0.366891	0.83
celegans_t100	256000	200	254622	39.5946	0.901220	0.00010979	0.363550	1.63
celegans_t100	256000	500	254582	39.7608	0.904935	0.00010566	0.356656	3.95
celegans_t100	256000	1000	254424	39.9768	0.909325	0.00010054	0.347898	7.81
celegans_t100	256000	2000	254408	39.9581	0.908865	0.00010097	0.348648	15.38
celegans_t100	256000	3000	254398	39.9916	0.909628	0.00010019	0.347306	22.84
celegans_t100	256000	5000	254402	39.9750	0.909263	0.00010058	0.347971	37.24
celegans_t100	256000	8000	254405	39.9811	0.909402	0.00010044	0.347724	58.99
celegans_t100	256000	12000	254408	39.9705	0.909148	0.00010068	0.348148	88.22
celegans_t100	256000	20000	254401	39.9969	0.909760	0.00010007	0.347095	145.23
