dataset	seeds_requested	n_iters	n_splats_final	psnr_db	ssim	mse	rel_l2	fit_time_s
cells3d_membrane	1000	50	1017	33.0770	0.823902	0.00049238	0.438796	2.22
cells3d_membrane	1000	100	1019	33.7134	0.836676	0.00042526	0.407794	0.62
cells3d_membrane	1000	200	1019	34.9755	0.862922	0.00031802	0.352643	1.22
cells3d_membrane	1000	500	1005	36.7933	0.898857	0.00020925	0.286053	3.02
cells3d_membrane	1000	1000	965	37.2022	0.906397	0.00019045	0.272899	6.11
cells3d_membrane	1000	2000	964	37.1926	0.906473	0.00019087	0.273201	11.83
cells3d_membrane	1000	3000	965	37.1672	0.906146	0.00019199	0.273999	18.14
cells3d_membrane	1000	5000	970	37.1510	0.906024	0.00019271	0.274512	29.24
cells3d_membrane	1000	8000	957	37.2384	0.906975	0.00018887	0.271762	46.23
cells3d_membrane	1000	12000	962	37.2576	0.907381	0.00018803	0.271163	69.44
cells3d_membrane	1000	20000	968	37.2030	0.906430	0.00019041	0.272873	115.22
cells3d_membrane	4000	50	3940	36.0062	0.875220	0.00025083	0.313184	0.48
cells3d_membrane	4000	100	3948	37.2330	0.897925	0.00018910	0.271933	0.61
cells3d_membrane	4000	200	3958	38.9556	0.927210	0.00012719	0.223014	1.23
cells3d_membrane	4000	500	3965	41.0822	0.954077	0.00007794	0.174582	3.11
cells3d_membrane	4000	1000	3965	41.6519	0.960139	0.00006836	0.163499	6.13
cells3d_membrane	4000	2000	3963	41.8320	0.961620	0.00006558	0.160144	12.19
cells3d_membrane	4000	3000	3963	41.8789	0.962019	0.00006488	0.159282	18.22
cells3d_membrane	4000	5000	3963	41.8665	0.962014	0.00006507	0.159510	29.41
cells3d_membrane	4000	8000	3964	41.8244	0.961527	0.00006570	0.160284	47.28
cells3d_membrane	4000	12000	3963	41.8638	0.962018	0.00006511	0.159559	70.09
cells3d_membrane	4000	20000	3962	41.8435	0.961913	0.00006541	0.159933	117.59
cells3d_membrane	16000	50	15849	40.5586	0.944251	0.00008793	0.185430	0.35
cells3d_membrane	16000	100	15864	42.2468	0.961434	0.00005961	0.152676	0.64
cells3d_membrane	16000	200	15880	44.0194	0.975899	0.00003963	0.124492	1.26
cells3d_membrane	16000	500	15891	45.0899	0.982878	0.00003097	0.110057	3.07
cells3d_membrane	16000	1000	15892	45.5268	0.984797	0.00002801	0.104657	6.16
cells3d_membrane	16000	2000	15889	45.6164	0.985091	0.00002744	0.103583	12.17
cells3d_membrane	16000	3000	15888	45.6428	0.985366	0.00002727	0.103270	18.02
cells3d_membrane	16000	5000	15890	45.6320	0.985284	0.00002734	0.103398	29.49
cells3d_membrane	16000	8000	15889	45.6044	0.985136	0.00002751	0.103727	47.55
cells3d_membrane	16000	12000	15891	45.6036	0.985073	0.00002752	0.103736	70.92
cells3d_membrane	16000	20000	15889	45.6348	0.985271	0.00002732	0.103364	116.76
cells3d_membrane	64000	50	63712	44.8549	0.980549	0.00003270	0.113075	0.37
cells3d_membrane	64000	100	63719	45.4752	0.985462	0.00002835	0.105282	0.64
cells3d_membrane	64000	200	63727	46.1798	0.988413	0.00002410	0.097078	1.27
cells3d_membrane	64000	500	63729	46.6845	0.990771	0.00002146	0.091598	3.10
cells3d_membrane	64000	1000	63723	47.2031	0.991896	0.00001904	0.086290	6.19
cells3d_membrane	64000	2000	63722	47.2482	0.992012	0.00001884	0.085842	12.05
cells3d_membrane	64000	3000	63722	47.2286	0.991959	0.00001893	0.086036	18.20
cells3d_membrane	64000	5000	63724	47.2356	0.991982	0.00001890	0.085967	29.96
cells3d_membrane	64000	8000	63724	47.2458	0.992028	0.00001885	0.085866	47.89
cells3d_membrane	64000	12000	63722	47.2177	0.991921	0.00001898	0.086145	71.54
cells3d_membrane	64000	20000	63724	47.2650	0.992122	0.00001877	0.085677	118.25
cells3d_membrane	256000	50	254983	45.8178	0.986635	0.00002619	0.101209	0.41
cells3d_membrane	256000	100	255052	45.9156	0.989352	0.00002561	0.100077	0.75
cells3d_membrane	256000	200	255117	46.5472	0.991430	0.00002215	0.093057	1.34
cells3d_membrane	256000	500	255075	47.1598	0.993040	0.00001923	0.086720	3.26
cells3d_membrane	256000	1000	255039	48.0227	0.994777	0.00001577	0.078519	6.50
cells3d_membrane	256000	2000	255070	48.0919	0.994908	0.00001552	0.077896	13.02
cells3d_membrane	256000	3000	255066	48.0947	0.994912	0.00001551	0.077871	19.32
cells3d_membrane	256000	5000	255027	48.1286	0.994960	0.00001539	0.077568	32.08
cells3d_membrane	256000	8000	255045	48.1061	0.994928	0.00001547	0.077769	51.40
cells3d_membrane	256000	12000	255047	48.1158	0.994940	0.00001543	0.077682	76.26
cells3d_membrane	256000	20000	255052	48.1029	0.994924	0.00001548	0.077798	125.38
