dataset	seeds_requested	n_iters	n_splats_final	psnr_db	ssim	mse	rel_l2	fit_time_s
cells3d_nuclei	1000	50	1023	29.5309	0.722562	0.00111407	0.266088	4.87
cells3d_nuclei	1000	100	1025	29.9343	0.729217	0.00101525	0.254013	0.61
cells3d_nuclei	1000	200	1025	30.2985	0.736074	0.00093357	0.243580	1.24
cells3d_nuclei	1000	500	1002	30.9631	0.751159	0.00080111	0.225639	3.08
cells3d_nuclei	1000	1000	951	31.2480	0.759205	0.00075024	0.218358	6.24
cells3d_nuclei	1000	2000	953	31.2724	0.759916	0.00074603	0.217744	12.09
cells3d_nuclei	1000	3000	943	31.2676	0.759884	0.00074686	0.217864	18.01
cells3d_nuclei	1000	5000	947	31.3189	0.761244	0.00073810	0.216584	29.69
cells3d_nuclei	1000	8000	955	31.2956	0.760648	0.00074206	0.217164	46.99
cells3d_nuclei	1000	12000	940	31.3167	0.760937	0.00073846	0.216636	70.18
cells3d_nuclei	1000	20000	942	31.3008	0.760617	0.00074117	0.217034	117.34
cells3d_nuclei	4000	50	3973	31.1277	0.758236	0.00077132	0.221404	0.49
cells3d_nuclei	4000	100	3976	31.9963	0.778091	0.00063150	0.200334	0.62
cells3d_nuclei	4000	200	3978	32.8135	0.799108	0.00052318	0.182346	1.23
cells3d_nuclei	4000	500	3968	33.4064	0.815920	0.00045642	0.170313	3.13
cells3d_nuclei	4000	1000	3975	33.6593	0.823338	0.00043059	0.165425	6.16
cells3d_nuclei	4000	2000	3973	33.6763	0.823894	0.00042891	0.165102	12.15
cells3d_nuclei	4000	3000	3975	33.7053	0.824854	0.00042606	0.164553	18.15
cells3d_nuclei	4000	5000	3975	33.6950	0.824751	0.00042708	0.164748	29.71
cells3d_nuclei	4000	8000	3977	33.6622	0.823719	0.00043031	0.165371	47.49
cells3d_nuclei	4000	12000	3974	33.7146	0.825086	0.00042515	0.164376	70.52
cells3d_nuclei	4000	20000	3975	33.6817	0.824100	0.00042838	0.164999	118.33
cells3d_nuclei	16000	50	15932	34.0948	0.830156	0.00038951	0.157336	0.36
cells3d_nuclei	16000	100	15935	34.3558	0.843563	0.00036679	0.152678	0.63
cells3d_nuclei	16000	200	15935	34.6916	0.852301	0.00033950	0.146888	1.25
cells3d_nuclei	16000	500	15933	34.9558	0.858654	0.00031946	0.142488	3.26
cells3d_nuclei	16000	1000	15932	35.0196	0.860299	0.00031481	0.141446	6.18
cells3d_nuclei	16000	2000	15931	35.0293	0.860837	0.00031410	0.141287	12.11
cells3d_nuclei	16000	3000	15932	35.0181	0.860398	0.00031492	0.141470	17.83
cells3d_nuclei	16000	5000	15931	35.0321	0.860808	0.00031390	0.141242	29.96
cells3d_nuclei	16000	8000	15931	35.0176	0.860393	0.00031495	0.141478	47.71
cells3d_nuclei	16000	12000	15932	35.0165	0.860368	0.00031503	0.141496	70.74
cells3d_nuclei	16000	20000	15932	35.0201	0.860509	0.00031477	0.141437	116.88
cells3d_nuclei	64000	50	63796	35.1948	0.867649	0.00030236	0.138621	0.36
cells3d_nuclei	64000	100	63782	35.2578	0.873758	0.00029800	0.137619	0.64
cells3d_nuclei	64000	200	63778	35.4656	0.876930	0.00028408	0.134365	1.24
cells3d_nuclei	64000	500	63775	35.7603	0.881486	0.00026544	0.129883	3.03
cells3d_nuclei	64000	1000	63775	35.8825	0.883086	0.00025808	0.128069	6.30
cells3d_nuclei	64000	2000	63774	35.8803	0.883073	0.00025821	0.128101	12.41
cells3d_nuclei	64000	3000	63773	35.8825	0.883125	0.00025808	0.128069	18.26
cells3d_nuclei	64000	5000	63774	35.8723	0.882856	0.00025868	0.128219	29.94
cells3d_nuclei	64000	8000	63775	35.8867	0.883222	0.00025783	0.128007	47.46
cells3d_nuclei	64000	12000	63773	35.8701	0.882931	0.00025881	0.128251	71.13
cells3d_nuclei	64000	20000	63772	35.8896	0.883240	0.00025766	0.127965	118.86
cells3d_nuclei	256000	50	255308	35.4349	0.879437	0.00028610	0.134841	0.40
cells3d_nuclei	256000	100	255313	35.4549	0.892283	0.00028478	0.134532	0.67
cells3d_nuclei	256000	200	255301	35.8999	0.901844	0.00025705	0.127813	1.31
cells3d_nuclei	256000	500	255226	36.5152	0.914016	0.00022309	0.119071	3.20
cells3d_nuclei	256000	1000	255148	37.2414	0.926879	0.00018874	0.109521	6.46
cells3d_nuclei	256000	2000	255183	37.5094	0.930499	0.00017744	0.106193	12.93
cells3d_nuclei	256000	3000	255181	37.5086	0.930482	0.00017748	0.106204	19.28
cells3d_nuclei	256000	5000	255177	37.5157	0.930632	0.00017719	0.106117	31.65
cells3d_nuclei	256000	8000	255199	37.4760	0.929870	0.00017881	0.106602	50.08
cells3d_nuclei	256000	12000	255167	37.5427	0.931231	0.00017609	0.105787	74.93
cells3d_nuclei	256000	20000	255182	37.5228	0.930773	0.00017690	0.106029	124.92
