dataset	seeds_requested	n_iters	n_splats_final	psnr_db	ssim	mse	rel_l2	fit_time_s
kidney_actin	1000	50	982	18.5073	0.266671	0.01410178	0.591850	2.34
kidney_actin	1000	100	985	19.1029	0.313578	0.01229460	0.552626	0.64
kidney_actin	1000	200	985	19.9135	0.367276	0.01020125	0.503386	1.26
kidney_actin	1000	500	967	20.9408	0.462242	0.00805230	0.447234	3.08
kidney_actin	1000	1000	943	21.0482	0.472360	0.00785560	0.441737	6.14
kidney_actin	1000	2000	938	21.0457	0.472638	0.00786009	0.441863	11.85
kidney_actin	1000	3000	948	21.0432	0.471758	0.00786462	0.441991	17.62
kidney_actin	1000	5000	938	21.0517	0.472920	0.00784920	0.441557	29.08
kidney_actin	1000	8000	938	21.0517	0.472920	0.00784920	0.441557	46.83
kidney_actin	1000	12000	947	21.0488	0.472103	0.00785458	0.441708	70.10
kidney_actin	1000	20000	945	21.0530	0.472644	0.00784701	0.441496	116.08
kidney_actin	4000	50	3814	19.9977	0.397394	0.01000520	0.498525	0.48
kidney_actin	4000	100	3836	21.4227	0.501473	0.00720652	0.423094	0.63
kidney_actin	4000	200	3871	22.6528	0.584094	0.00542896	0.367225	1.24
kidney_actin	4000	500	3914	23.4205	0.637053	0.00454937	0.336163	3.07
kidney_actin	4000	1000	3925	23.8756	0.654461	0.00409676	0.319003	6.12
kidney_actin	4000	2000	3920	23.9574	0.656390	0.00402027	0.316011	12.12
kidney_actin	4000	3000	3921	23.9332	0.653211	0.00404278	0.316894	17.98
kidney_actin	4000	5000	3920	23.9676	0.656098	0.00401087	0.315641	29.71
kidney_actin	4000	8000	3922	23.9410	0.655875	0.00403551	0.316609	47.42
kidney_actin	4000	12000	3920	23.9795	0.656140	0.00399990	0.315209	70.46
kidney_actin	4000	20000	3923	23.9431	0.652891	0.00403362	0.316535	117.45
kidney_actin	16000	50	15428	24.1380	0.690515	0.00385652	0.309508	0.36
kidney_actin	16000	100	15517	25.5323	0.757245	0.00279750	0.263608	0.65
kidney_actin	16000	200	15646	26.6133	0.810233	0.00218108	0.232761	1.25
kidney_actin	16000	500	15789	27.5633	0.843795	0.00175255	0.208646	3.12
kidney_actin	16000	1000	15809	28.2837	0.842959	0.00148466	0.192038	6.29
kidney_actin	16000	2000	15808	28.4574	0.843024	0.00142646	0.188237	12.07
kidney_actin	16000	3000	15811	28.4646	0.842628	0.00142409	0.188080	17.71
kidney_actin	16000	5000	15804	28.4267	0.844311	0.00143659	0.188904	29.54
kidney_actin	16000	8000	15807	28.4609	0.842168	0.00142530	0.188160	47.21
kidney_actin	16000	12000	15808	28.4532	0.842505	0.00142784	0.188327	70.28
kidney_actin	16000	20000	15804	28.4913	0.843264	0.00141536	0.187503	117.41
kidney_actin	64000	50	62134	26.9344	0.854516	0.00202564	0.224313	0.36
kidney_actin	64000	100	62164	28.1499	0.892441	0.00153114	0.195021	0.64
kidney_actin	64000	200	62317	29.0922	0.915246	0.00123247	0.174969	1.26
kidney_actin	64000	500	62408	30.9373	0.942569	0.00080587	0.141484	3.08
kidney_actin	64000	1000	62439	32.4292	0.954263	0.00057158	0.119156	6.09
kidney_actin	64000	2000	62434	33.0861	0.957107	0.00049135	0.110477	12.30
kidney_actin	64000	3000	62449	33.1219	0.956716	0.00048732	0.110022	18.54
kidney_actin	64000	5000	62439	33.1051	0.958255	0.00048920	0.110235	30.21
kidney_actin	64000	8000	62439	33.1011	0.956831	0.00048965	0.110286	49.16
kidney_actin	64000	12000	62443	33.0930	0.957044	0.00049057	0.110388	75.43
kidney_actin	64000	20000	62440	33.1257	0.957056	0.00048689	0.109974	119.13
kidney_actin	256000	50	250434	27.9068	0.911915	0.00161927	0.200555	0.55
kidney_actin	256000	100	250711	28.8648	0.933830	0.00129874	0.179612	0.69
kidney_actin	256000	200	250940	29.7612	0.947401	0.00105652	0.161999	1.32
kidney_actin	256000	500	250378	31.8877	0.969085	0.00064748	0.126820	3.25
kidney_actin	256000	1000	249795	35.3154	0.988461	0.00029407	0.085468	6.60
kidney_actin	256000	2000	249661	36.5964	0.992584	0.00021896	0.073748	13.29
kidney_actin	256000	3000	249565	36.6591	0.992798	0.00021582	0.073218	20.20
kidney_actin	256000	5000	249385	36.6880	0.992875	0.00021439	0.072975	33.30
kidney_actin	256000	8000	249370	36.7027	0.992874	0.00021366	0.072851	52.79
kidney_actin	256000	12000	249632	36.6454	0.992739	0.00021650	0.073334	79.38
kidney_actin	256000	20000	249599	36.6393	0.992779	0.00021681	0.073386	131.80
