dataset	seeds_requested	n_iters	n_splats_final	psnr_db	ssim	mse	rel_l2	fit_time_s
kidney_dapi	1000	50	984	19.2994	0.340753	0.01175068	0.584008	2.25
kidney_dapi	1000	100	986	20.0835	0.410978	0.00980951	0.533594	0.63
kidney_dapi	1000	200	986	21.0016	0.493207	0.00794033	0.480072	1.25
kidney_dapi	1000	500	966	22.4370	0.600605	0.00570564	0.406948	3.06
kidney_dapi	1000	1000	938	22.5245	0.608135	0.00559173	0.402866	6.03
kidney_dapi	1000	2000	943	22.5253	0.607590	0.00559073	0.402829	12.00
kidney_dapi	1000	3000	946	22.5398	0.609292	0.00557216	0.402160	18.00
kidney_dapi	1000	5000	947	22.5022	0.606766	0.00562051	0.403901	29.37
kidney_dapi	1000	8000	945	22.5074	0.607476	0.00561385	0.403662	47.22
kidney_dapi	1000	12000	944	22.5126	0.607961	0.00560715	0.403421	70.37
kidney_dapi	1000	20000	938	22.5178	0.607869	0.00560047	0.403180	117.55
kidney_dapi	4000	50	3913	21.5489	0.536794	0.00700014	0.450755	0.48
kidney_dapi	4000	100	3932	22.9475	0.628305	0.00507284	0.383718	0.62
kidney_dapi	4000	200	3945	24.3947	0.710678	0.00363519	0.324826	1.23
kidney_dapi	4000	500	3950	25.5566	0.775617	0.00278189	0.284156	3.08
kidney_dapi	4000	1000	3946	26.2398	0.806382	0.00237693	0.262661	6.11
kidney_dapi	4000	2000	3954	26.6231	0.820465	0.00217614	0.251322	12.21
kidney_dapi	4000	3000	3958	26.4222	0.813065	0.00227919	0.257204	18.05
kidney_dapi	4000	5000	3956	26.5256	0.816877	0.00222557	0.254160	30.10
kidney_dapi	4000	8000	3952	26.4331	0.813916	0.00227348	0.256881	47.37
kidney_dapi	4000	12000	3959	26.4912	0.814194	0.00224326	0.255168	71.03
kidney_dapi	4000	20000	3954	26.5396	0.816920	0.00221842	0.253752	117.94
kidney_dapi	16000	50	15545	27.2564	0.838564	0.00188089	0.233652	0.35
kidney_dapi	16000	100	15654	28.6102	0.876335	0.00137714	0.199929	0.64
kidney_dapi	16000	200	15737	29.7746	0.908031	0.00105327	0.174847	1.26
kidney_dapi	16000	500	15874	30.7503	0.931151	0.00084133	0.156268	3.11
kidney_dapi	16000	1000	15917	31.6430	0.941032	0.00068501	0.141005	6.29
kidney_dapi	16000	2000	15922	31.7766	0.942584	0.00066426	0.138853	12.07
kidney_dapi	16000	3000	15923	31.7792	0.942744	0.00066387	0.138813	17.91
kidney_dapi	16000	5000	15923	31.7901	0.942824	0.00066221	0.138639	29.79
kidney_dapi	16000	8000	15927	31.7860	0.942781	0.00066283	0.138704	47.76
kidney_dapi	16000	12000	15925	31.7897	0.942920	0.00066226	0.138644	70.99
kidney_dapi	16000	20000	15931	31.7921	0.943110	0.00066190	0.138606	118.64
kidney_dapi	64000	50	62785	31.0908	0.942166	0.00077789	0.150261	0.37
kidney_dapi	64000	100	62869	31.7689	0.954162	0.00066544	0.138977	0.64
kidney_dapi	64000	200	62975	32.4149	0.960643	0.00057347	0.129016	1.24
kidney_dapi	64000	500	63056	33.7953	0.970116	0.00041732	0.110058	3.15
kidney_dapi	64000	1000	63055	35.2858	0.976561	0.00029609	0.092704	6.19
kidney_dapi	64000	2000	63046	35.5432	0.977988	0.00027905	0.089997	12.34
kidney_dapi	64000	3000	63054	35.5609	0.978108	0.00027791	0.089814	18.60
kidney_dapi	64000	5000	63043	35.5508	0.978043	0.00027856	0.089918	30.17
kidney_dapi	64000	8000	63041	35.5407	0.977953	0.00027921	0.090023	48.00
kidney_dapi	64000	12000	63046	35.5296	0.977821	0.00027993	0.090138	71.92
kidney_dapi	64000	20000	63048	35.5532	0.978035	0.00027840	0.089893	118.96
kidney_dapi	256000	50	251907	31.4542	0.944568	0.00071545	0.144104	0.42
kidney_dapi	256000	100	252363	31.8404	0.957807	0.00065458	0.137837	0.68
kidney_dapi	256000	200	252470	32.6625	0.966671	0.00054169	0.125390	1.33
kidney_dapi	256000	500	252216	33.5113	0.973654	0.00044553	0.113717	3.25
kidney_dapi	256000	1000	251885	36.3574	0.985830	0.00023135	0.081944	6.59
kidney_dapi	256000	2000	251735	36.7519	0.986978	0.00021125	0.078305	13.39
kidney_dapi	256000	3000	251714	36.7501	0.986960	0.00021134	0.078321	20.23
kidney_dapi	256000	5000	251701	36.7567	0.986985	0.00021102	0.078262	33.38
kidney_dapi	256000	8000	251693	36.7485	0.986943	0.00021142	0.078336	52.82
kidney_dapi	256000	12000	251803	36.7284	0.986880	0.00021240	0.078518	78.98
kidney_dapi	256000	20000	251700	36.7519	0.986962	0.00021126	0.078305	131.43
