dataset	seeds_requested	n_iters	n_splats_final	psnr_db	ssim	mse	rel_l2	fit_time_s
opencell_lmnb1_ch0	1000	50	987	19.0144	0.414312	0.01254747	0.569444	2.94
opencell_lmnb1_ch0	1000	100	988	19.4319	0.421279	0.01139761	0.542725	1.52
opencell_lmnb1_ch0	1000	200	963	21.0014	0.442791	0.00794081	0.453008	2.95
opencell_lmnb1_ch0	1000	500	899	22.6625	0.467394	0.00541690	0.374153	7.05
opencell_lmnb1_ch0	1000	1000	831	22.8797	0.470785	0.00515267	0.364913	13.61
opencell_lmnb1_ch0	1000	2000	839	22.8417	0.470148	0.00519795	0.366513	26.24
opencell_lmnb1_ch0	1000	3000	846	22.8318	0.469995	0.00520976	0.366929	38.02
opencell_lmnb1_ch0	1000	5000	845	22.8547	0.470337	0.00518242	0.365965	62.31
opencell_lmnb1_ch0	1000	8000	832	22.8533	0.470391	0.00518407	0.366023	103.88
opencell_lmnb1_ch0	1000	12000	844	22.8278	0.470052	0.00521456	0.367098	153.59
opencell_lmnb1_ch0	1000	20000	833	22.8680	0.470580	0.00516660	0.365406	246.43
opencell_lmnb1_ch0	4000	50	3852	21.8192	0.443227	0.00657782	0.412301	0.80
opencell_lmnb1_ch0	4000	100	3879	23.0096	0.463274	0.00500086	0.359497	1.01
opencell_lmnb1_ch0	4000	200	3911	24.2206	0.486565	0.00378393	0.312712	2.01
opencell_lmnb1_ch0	4000	500	3866	24.7842	0.500939	0.00332337	0.293064	4.97
opencell_lmnb1_ch0	4000	1000	3821	24.8397	0.501994	0.00328116	0.291197	9.80
opencell_lmnb1_ch0	4000	2000	3829	24.8386	0.501932	0.00328205	0.291236	19.29
opencell_lmnb1_ch0	4000	3000	3823	24.8482	0.502082	0.00327474	0.290912	28.80
opencell_lmnb1_ch0	4000	5000	3833	24.8266	0.501719	0.00329109	0.291637	47.65
opencell_lmnb1_ch0	4000	8000	3834	24.8263	0.501680	0.00329135	0.291649	76.06
opencell_lmnb1_ch0	4000	12000	3829	24.8393	0.501984	0.00328151	0.291213	114.10
opencell_lmnb1_ch0	4000	20000	3821	24.8452	0.502048	0.00327703	0.291014	190.25
opencell_lmnb1_ch0	16000	50	15390	23.7450	0.476918	0.00422186	0.330313	0.75
opencell_lmnb1_ch0	16000	100	15504	24.6492	0.493383	0.00342832	0.297655	1.14
opencell_lmnb1_ch0	16000	200	15615	25.1649	0.506140	0.00304443	0.280495	2.26
opencell_lmnb1_ch0	16000	500	15678	25.3501	0.511708	0.00291738	0.274581	5.61
opencell_lmnb1_ch0	16000	1000	15676	25.3663	0.512268	0.00290647	0.274067	11.15
opencell_lmnb1_ch0	16000	2000	15679	25.3691	0.512324	0.00290461	0.273979	22.08
opencell_lmnb1_ch0	16000	3000	15679	25.3677	0.512324	0.00290557	0.274024	33.11
opencell_lmnb1_ch0	16000	5000	15679	25.3699	0.512366	0.00290410	0.273955	54.54
opencell_lmnb1_ch0	16000	8000	15675	25.3636	0.512179	0.00290831	0.274153	87.50
opencell_lmnb1_ch0	16000	12000	15680	25.3688	0.512385	0.00290481	0.273988	131.46
opencell_lmnb1_ch0	16000	20000	15678	25.3662	0.512258	0.00290656	0.274071	217.70
opencell_lmnb1_ch0	64000	50	63358	25.1185	0.503704	0.00307716	0.281999	0.70
opencell_lmnb1_ch0	64000	100	63475	25.3215	0.510349	0.00293663	0.275485	1.09
opencell_lmnb1_ch0	64000	200	63659	25.4516	0.514657	0.00284999	0.271391	2.14
opencell_lmnb1_ch0	64000	500	63736	25.5619	0.518068	0.00277853	0.267966	5.29
opencell_lmnb1_ch0	64000	1000	63712	25.5705	0.518145	0.00277298	0.267699	10.61
opencell_lmnb1_ch0	64000	2000	63702	25.5696	0.517943	0.00277357	0.267727	21.14
opencell_lmnb1_ch0	64000	3000	63713	25.5727	0.518086	0.00277162	0.267633	31.40
opencell_lmnb1_ch0	64000	5000	63699	25.5696	0.517900	0.00277356	0.267727	51.84
opencell_lmnb1_ch0	64000	8000	63701	25.5692	0.517861	0.00277384	0.267740	83.08
opencell_lmnb1_ch0	64000	12000	63708	25.5708	0.517981	0.00277282	0.267691	124.29
opencell_lmnb1_ch0	64000	20000	63704	25.5703	0.517949	0.00277314	0.267707	206.94
opencell_lmnb1_ch0	256000	50	251258	25.5496	0.524970	0.00278637	0.268345	0.91
opencell_lmnb1_ch0	256000	100	251555	25.6689	0.528446	0.00271090	0.264685	1.33
opencell_lmnb1_ch0	256000	200	251737	25.7999	0.531851	0.00263034	0.260723	2.60
opencell_lmnb1_ch0	256000	500	251354	26.0052	0.536869	0.00250886	0.254631	6.45
opencell_lmnb1_ch0	256000	1000	251076	26.0400	0.537735	0.00248884	0.253613	12.87
opencell_lmnb1_ch0	256000	2000	251020	26.0430	0.537670	0.00248717	0.253528	25.62
opencell_lmnb1_ch0	256000	3000	250964	26.0524	0.537686	0.00248178	0.253253	38.24
opencell_lmnb1_ch0	256000	5000	250943	26.0508	0.537698	0.00248265	0.253298	63.39
opencell_lmnb1_ch0	256000	8000	250965	26.0519	0.537799	0.00248205	0.253267	101.21
opencell_lmnb1_ch0	256000	12000	250963	26.0530	0.537762	0.00248140	0.253234	151.55
opencell_lmnb1_ch0	256000	20000	250906	26.0626	0.537634	0.00247593	0.252955	252.32
