dataset	seeds_requested	n_iters	n_splats_final	psnr_db	ssim	mse	rel_l2	fit_time_s
opencell_map4_ch0	1000	50	956	19.0305	0.504979	0.01250114	0.624465	2.57
opencell_map4_ch0	1000	100	938	20.3054	0.544272	0.00932087	0.539215	0.75
opencell_map4_ch0	1000	200	954	22.5230	0.595569	0.00559367	0.417717	1.46
opencell_map4_ch0	1000	500	941	24.5538	0.627379	0.00350449	0.330633	3.62
opencell_map4_ch0	1000	1000	893	25.0906	0.633907	0.00309700	0.310817	7.40
opencell_map4_ch0	1000	2000	898	25.1149	0.634147	0.00307968	0.309946	14.02
opencell_map4_ch0	1000	3000	893	25.1069	0.634017	0.00308542	0.310235	21.08
opencell_map4_ch0	1000	5000	896	25.1210	0.634269	0.00307538	0.309730	35.05
opencell_map4_ch0	1000	8000	891	25.1121	0.634113	0.00308171	0.310048	56.01
opencell_map4_ch0	1000	12000	893	25.1090	0.634000	0.00308390	0.310159	85.62
opencell_map4_ch0	1000	20000	890	25.1084	0.634052	0.00308435	0.310181	140.43
opencell_map4_ch0	4000	50	3724	22.4421	0.576676	0.00569892	0.421628	0.56
opencell_map4_ch0	4000	100	3790	24.7559	0.619036	0.00334508	0.323025	0.71
opencell_map4_ch0	4000	200	3846	26.5201	0.647220	0.00222839	0.263651	1.40
opencell_map4_ch0	4000	500	3878	27.2328	0.660316	0.00189114	0.242882	3.63
opencell_map4_ch0	4000	1000	3864	27.2544	0.662604	0.00188174	0.242278	6.86
opencell_map4_ch0	4000	2000	3865	27.2567	0.662592	0.00188073	0.242213	13.55
opencell_map4_ch0	4000	3000	3865	27.2828	0.662981	0.00186949	0.241488	20.37
opencell_map4_ch0	4000	5000	3871	27.2692	0.662294	0.00187534	0.241865	33.55
opencell_map4_ch0	4000	8000	3862	27.2863	0.663056	0.00186799	0.241391	54.16
opencell_map4_ch0	4000	12000	3863	27.2699	0.662860	0.00187505	0.241847	80.48
opencell_map4_ch0	4000	20000	3867	27.2731	0.662726	0.00187365	0.241756	134.33
opencell_map4_ch0	16000	50	16040	26.7090	0.643524	0.00213352	0.257977	0.44
opencell_map4_ch0	16000	100	16165	27.5890	0.657256	0.00174219	0.233121	0.71
opencell_map4_ch0	16000	200	16252	27.9539	0.664662	0.00160180	0.223531	1.39
opencell_map4_ch0	16000	500	16301	28.1328	0.667653	0.00153717	0.218975	3.46
opencell_map4_ch0	16000	1000	16304	28.1481	0.668090	0.00153177	0.218590	6.91
opencell_map4_ch0	16000	2000	16300	28.1472	0.667579	0.00153209	0.218613	13.51
opencell_map4_ch0	16000	3000	16303	28.1492	0.667719	0.00153137	0.218561	20.04
opencell_map4_ch0	16000	5000	16305	28.1514	0.667807	0.00153059	0.218506	33.10
opencell_map4_ch0	16000	8000	16299	28.1434	0.667193	0.00153340	0.218706	53.64
opencell_map4_ch0	16000	12000	16305	28.1514	0.667684	0.00153059	0.218506	79.29
opencell_map4_ch0	16000	20000	16302	28.1460	0.667649	0.00153251	0.218642	132.12
opencell_map4_ch0	64000	50	62727	27.9640	0.668914	0.00159810	0.223272	0.47
opencell_map4_ch0	64000	100	62822	28.1933	0.673418	0.00151589	0.217454	0.77
opencell_map4_ch0	64000	200	62954	28.3173	0.676341	0.00147324	0.214373	1.51
opencell_map4_ch0	64000	500	62953	28.5287	0.678455	0.00140324	0.209218	3.74
opencell_map4_ch0	64000	1000	62909	28.5518	0.678068	0.00139578	0.208662	7.45
opencell_map4_ch0	64000	2000	62886	28.5538	0.677856	0.00139514	0.208614	14.79
opencell_map4_ch0	64000	3000	62888	28.5520	0.677872	0.00139573	0.208657	21.76
opencell_map4_ch0	64000	5000	62882	28.5536	0.677849	0.00139520	0.208618	35.84
opencell_map4_ch0	64000	8000	62908	28.5601	0.678187	0.00139312	0.208463	57.08
opencell_map4_ch0	64000	12000	62919	28.5639	0.678509	0.00139192	0.208372	86.32
opencell_map4_ch0	64000	20000	62896	28.5559	0.678044	0.00139447	0.208564	142.07
opencell_map4_ch0	256000	50	250804	28.1078	0.683500	0.00154604	0.219606	0.61
opencell_map4_ch0	256000	100	251342	28.4457	0.690314	0.00143031	0.211227	0.95
opencell_map4_ch0	256000	200	251793	28.6360	0.693730	0.00136898	0.206648	1.84
opencell_map4_ch0	256000	500	251566	29.1716	0.701051	0.00121015	0.194291	4.56
opencell_map4_ch0	256000	1000	250859	29.4636	0.703963	0.00113146	0.187868	9.01
opencell_map4_ch0	256000	2000	250737	29.5014	0.704183	0.00112166	0.187052	17.86
opencell_map4_ch0	256000	3000	250679	29.4925	0.703833	0.00112395	0.187244	26.41
opencell_map4_ch0	256000	5000	250725	29.4924	0.703977	0.00112398	0.187246	43.71
opencell_map4_ch0	256000	8000	250714	29.4905	0.703903	0.00112448	0.187288	69.54
opencell_map4_ch0	256000	12000	250691	29.5212	0.704236	0.00111655	0.186626	103.96
opencell_map4_ch0	256000	20000	250741	29.5076	0.704215	0.00112007	0.186920	172.88
