dataset	seeds_requested	n_iters	n_splats_final	psnr_db	ssim	mse	rel_l2	fit_time_s
organoid_ch0	1000	50	834	29.3636	0.848761	0.00115781	0.726577	5.17
organoid_ch0	1000	100	854	30.4195	0.861480	0.00090792	0.643409	0.84
organoid_ch0	1000	200	909	31.5772	0.879262	0.00069547	0.563124	1.64
organoid_ch0	1000	500	949	32.3599	0.890882	0.00058078	0.514598	3.87
organoid_ch0	1000	1000	954	32.6151	0.894453	0.00054763	0.499697	7.54
organoid_ch0	1000	2000	945	32.6334	0.894392	0.00054533	0.498647	14.79
organoid_ch0	1000	3000	946	32.6732	0.894931	0.00054036	0.496368	23.89
organoid_ch0	1000	5000	946	32.6660	0.894838	0.00054125	0.496778	40.08
organoid_ch0	1000	8000	946	32.6487	0.893742	0.00054341	0.497767	61.48
organoid_ch0	1000	12000	947	32.6339	0.894771	0.00054527	0.498620	83.86
organoid_ch0	1000	20000	946	32.6739	0.895140	0.00054026	0.496326	161.41
organoid_ch0	4000	50	2761	31.7259	0.861657	0.00067206	0.553564	1.28
organoid_ch0	4000	100	2984	33.6182	0.887673	0.00043469	0.445200	1.77
organoid_ch0	4000	200	3198	34.6740	0.902311	0.00034088	0.394244	3.54
organoid_ch0	4000	500	3355	35.3938	0.910946	0.00028881	0.362888	8.83
organoid_ch0	4000	1000	3469	36.1979	0.917194	0.00024000	0.330803	17.68
organoid_ch0	4000	2000	3575	36.3188	0.903803	0.00023341	0.326229	34.97
organoid_ch0	4000	3000	3591	36.3493	0.905304	0.00023178	0.325085	51.71
organoid_ch0	4000	5000	3581	36.2800	0.903522	0.00023550	0.327690	85.26
organoid_ch0	4000	8000	3570	36.2777	0.906382	0.00023563	0.327777	136.16
organoid_ch0	4000	12000	3574	36.3580	0.907491	0.00023131	0.324761	205.45
organoid_ch0	4000	20000	3574	36.3523	0.907977	0.00023162	0.324976	339.13
organoid_ch0	16000	50	11393	34.9002	0.884008	0.00032358	0.384108	1.20
organoid_ch0	16000	100	12087	36.4776	0.911731	0.00022503	0.320318	1.82
organoid_ch0	16000	200	12815	37.2638	0.921965	0.00018777	0.292601	3.56
organoid_ch0	16000	500	13407	37.9411	0.928762	0.00016065	0.270650	8.67
organoid_ch0	16000	1000	13508	38.2437	0.930076	0.00014984	0.261385	17.21
organoid_ch0	16000	2000	13595	38.2923	0.929735	0.00014817	0.259925	33.75
organoid_ch0	16000	3000	13597	38.3075	0.929989	0.00014765	0.259470	50.27
organoid_ch0	16000	5000	13591	38.3046	0.929885	0.00014775	0.259557	83.37
organoid_ch0	16000	8000	13632	38.3244	0.929891	0.00014708	0.258968	132.83
organoid_ch0	16000	12000	13596	38.3033	0.929816	0.00014780	0.259595	199.04
organoid_ch0	16000	20000	13599	38.3054	0.929842	0.00014773	0.259533	330.51
organoid_ch0	64000	50	56595	38.1261	0.927943	0.00015395	0.264946	0.50
organoid_ch0	64000	100	56963	38.5703	0.930508	0.00013898	0.251736	0.80
organoid_ch0	64000	200	57292	38.9079	0.933058	0.00012859	0.242141	1.57
organoid_ch0	64000	500	57124	39.4959	0.936290	0.00011231	0.226292	3.79
organoid_ch0	64000	1000	56574	39.7500	0.937275	0.00010593	0.219769	7.40
organoid_ch0	64000	2000	56592	39.7679	0.936864	0.00010549	0.219316	14.74
organoid_ch0	64000	3000	56635	39.7859	0.937200	0.00010505	0.218860	21.84
organoid_ch0	64000	5000	56571	39.7617	0.936768	0.00010564	0.219472	36.03
organoid_ch0	64000	8000	56618	39.7962	0.937149	0.00010480	0.218600	56.92
organoid_ch0	64000	12000	56676	39.7699	0.936848	0.00010544	0.219265	84.95
organoid_ch0	64000	20000	56642	39.7843	0.936873	0.00010509	0.218902	141.84
organoid_ch0	256000	50	243506	38.0858	0.934757	0.00015539	0.266179	0.61
organoid_ch0	256000	100	242653	38.6747	0.940559	0.00013568	0.248730	0.94
organoid_ch0	256000	200	242563	39.0681	0.941966	0.00012393	0.237716	1.81
organoid_ch0	256000	500	245033	39.6619	0.945489	0.00010810	0.222008	4.37
organoid_ch0	256000	1000	247323	40.2725	0.948209	0.00009392	0.206937	8.63
organoid_ch0	256000	2000	246622	40.3727	0.948361	0.00009178	0.204563	17.35
organoid_ch0	256000	3000	246458	40.3952	0.948332	0.00009130	0.204035	25.96
organoid_ch0	256000	5000	246220	40.4349	0.948451	0.00009047	0.203104	43.02
organoid_ch0	256000	8000	245831	40.4696	0.948261	0.00008975	0.202295	68.53
organoid_ch0	256000	12000	245395	40.4836	0.947906	0.00008946	0.201968	102.63
organoid_ch0	256000	20000	244841	40.5761	0.947814	0.00008758	0.199830	171.64
