dataset	seeds_requested	n_iters	n_splats_final	psnr_db	ssim	mse	rel_l2	fit_time_s
tribolium	1000	50	997	29.2382	0.942319	0.00119174	0.355597	3.86
tribolium	1000	100	998	29.3980	0.947617	0.00114868	0.349114	2.58
tribolium	1000	200	996	29.5599	0.949127	0.00110666	0.342669	5.11
tribolium	1000	500	991	29.9195	0.950267	0.00101870	0.328768	12.39
tribolium	1000	1000	989	30.0315	0.951425	0.00099278	0.324559	24.78
tribolium	1000	2000	990	29.9788	0.951014	0.00100490	0.326533	47.65
tribolium	1000	3000	990	29.9636	0.950164	0.00100841	0.327105	69.59
tribolium	1000	5000	992	29.8315	0.949571	0.00103956	0.332118	112.31
tribolium	1000	8000	989	29.9969	0.950733	0.00100073	0.325855	180.81
tribolium	1000	12000	992	29.8117	0.949949	0.00104431	0.332876	266.97
tribolium	1000	20000	992	29.8585	0.950096	0.00103311	0.331085	435.03
tribolium	4000	50	4165	31.1742	0.953250	0.00076310	0.284550	1.71
tribolium	4000	100	4155	31.8463	0.952471	0.00065368	0.263360	2.20
tribolium	4000	200	4165	33.8128	0.966207	0.00041565	0.210005	4.39
tribolium	4000	500	4139	35.4482	0.975595	0.00028522	0.173963	11.03
tribolium	4000	1000	4057	36.4462	0.978924	0.00022666	0.155080	22.20
tribolium	4000	2000	3961	37.1727	0.980958	0.00019175	0.142636	44.70
tribolium	4000	3000	3972	37.0847	0.980696	0.00019567	0.144090	67.13
tribolium	4000	5000	3958	37.2678	0.981301	0.00018759	0.141084	111.38
tribolium	4000	8000	3952	37.1717	0.980984	0.00019179	0.142654	177.79
tribolium	4000	12000	3957	37.2279	0.981171	0.00018933	0.141734	269.69
tribolium	4000	20000	3960	37.1695	0.980886	0.00019189	0.142690	445.04
tribolium	16000	50	15750	34.2642	0.962386	0.00037461	0.199368	1.63
tribolium	16000	100	15818	35.8751	0.969897	0.00025852	0.165620	2.35
tribolium	16000	200	15878	38.9498	0.983416	0.00012735	0.116245	4.67
tribolium	16000	500	15884	40.9028	0.989503	0.00008123	0.092838	11.63
tribolium	16000	1000	15838	41.7778	0.991447	0.00006641	0.083942	23.34
tribolium	16000	2000	15805	42.0053	0.991907	0.00006302	0.081771	46.87
tribolium	16000	3000	15808	41.9588	0.991809	0.00006370	0.082211	70.07
tribolium	16000	5000	15816	41.9577	0.991813	0.00006371	0.082221	117.13
tribolium	16000	8000	15808	41.9892	0.991874	0.00006325	0.081924	188.70
tribolium	16000	12000	15822	41.9133	0.991731	0.00006437	0.082642	279.21
tribolium	16000	20000	15812	41.9658	0.991836	0.00006359	0.082144	464.49
tribolium	64000	50	64528	39.5463	0.976274	0.00011101	0.108530	1.34
tribolium	64000	100	64669	40.5483	0.982611	0.00008814	0.096706	1.91
tribolium	64000	200	64818	41.5354	0.987375	0.00007022	0.086317	3.77
tribolium	64000	500	64808	42.2242	0.992311	0.00005992	0.079737	9.50
tribolium	64000	1000	64768	42.6730	0.993237	0.00005404	0.075721	19.40
tribolium	64000	2000	64778	42.6895	0.993290	0.00005383	0.075577	39.20
tribolium	64000	3000	64788	42.6775	0.993142	0.00005398	0.075682	58.62
tribolium	64000	5000	64784	42.6918	0.993270	0.00005380	0.075557	97.91
tribolium	64000	8000	64788	42.6866	0.993209	0.00005387	0.075603	156.39
tribolium	64000	12000	64789	42.6846	0.993204	0.00005389	0.075620	234.78
tribolium	64000	20000	64791	42.6734	0.993099	0.00005403	0.075718	389.25
tribolium	256000	50	255674	39.5452	0.971117	0.00011104	0.108544	1.53
tribolium	256000	100	256089	40.6746	0.982379	0.00008561	0.095310	2.18
tribolium	256000	200	256407	41.2373	0.986897	0.00007521	0.089331	4.33
tribolium	256000	500	256561	42.1700	0.992221	0.00006067	0.080235	11.10
tribolium	256000	1000	256381	42.6283	0.993708	0.00005460	0.076112	22.99
tribolium	256000	2000	256372	42.6343	0.993696	0.00005452	0.076060	46.21
tribolium	256000	3000	256381	42.6318	0.993644	0.00005455	0.076081	69.93
tribolium	256000	5000	256377	42.6350	0.993693	0.00005451	0.076053	117.23
tribolium	256000	8000	256370	42.6476	0.993797	0.00005435	0.075943	191.84
tribolium	256000	12000	256390	42.6420	0.993745	0.00005442	0.075992	289.30
tribolium	256000	20000	256400	42.6412	0.993747	0.00005444	0.075999	481.85
