dataset	method	knob	bpv	psnr_raw	psnr_train	psnr_heldout	renderable
kidney_dapi	quant4b	4	1.6685	34.18	34.18	34.19	False
kidney_dapi	quant6b	6	3.3235	46.76	46.76	46.76	False
kidney_dapi	quant8b	8	5.4951	58.91	58.91	58.91	False
kidney_dapi	quant10b	10	8.6734	71.05	71.05	71.06	False
kidney_dapi	quant12b	12	10.7935	82.31	82.31	82.31	False
kidney_dapi	quant16b	16	13.1292	107.12	107.12	107.12	False
kidney_dapi	gsplats	1000	0.0716	22.54	22.55	22.48	True
kidney_dapi	gsplats	2000	0.1482	24.22	24.22	24.16	True
kidney_dapi	gsplats	4000	0.3019	26.48	26.49	26.37	True
kidney_dapi	gsplats	8000	0.605	29.52	29.54	29.2	True
kidney_dapi	gsplats	16000	1.2157	31.75	31.78	31.19	True
kidney_dapi	gsplats	32000	2.4155	33.64	33.7	32.61	True
kidney_dapi	gsplats	64000	4.8097	35.44	35.56	33.63	True
kidney_dapi	gsplats	128000	9.5528	36.23	36.45	33.36	True
kidney_dapi	gsplats	256000	19.2077	36.44	36.78	32.54	True
kidney_dapi	gsplats	512000	38.5527	36.77	37.36	31.44	True
kidney_dapi	noise_floor	ref	0.0	41.3421	41.3421	41.3421	False
organoid_ch0	quant4b	4	0.4158	40.36	40.36	40.37	False
organoid_ch0	quant6b	6	1.4391	50.03	50.03	50.03	False
organoid_ch0	quant8b	8	2.5693	57.63	57.63	57.63	False
organoid_ch0	quant10b	10	4.8018	69.23	69.23	69.23	False
organoid_ch0	quant12b	12	6.3245	93.37	93.36	93.37	False
organoid_ch0	quant16b	16	6.8518	110.38	110.38	110.38	False
organoid_ch0	gsplats	1000	0.0171	32.64	32.64	32.57	True
organoid_ch0	gsplats	2000	0.0333	34.5	34.51	34.41	True
organoid_ch0	gsplats	4000	0.0652	36.34	36.35	36.12	True
organoid_ch0	gsplats	8000	0.1294	37.43	37.45	37.07	True
organoid_ch0	gsplats	16000	0.2462	38.27	38.31	37.58	True
organoid_ch0	gsplats	32000	0.5126	38.97	39.04	37.75	True
organoid_ch0	gsplats	64000	1.0296	39.64	39.78	37.6	True
organoid_ch0	gsplats	128000	2.1816	39.98	40.16	37.44	True
organoid_ch0	gsplats	256000	4.4567	40.35	40.59	37.33	True
organoid_ch0	gsplats	512000	9.0546	40.76	41.06	37.2	True
organoid_ch0	noise_floor	ref	0.0	54.4213	54.4213	54.4213	False
celegans_t100	quant4b	4	0.8165	34.35	34.35	34.35	False
celegans_t100	quant6b	6	2.1579	46.67	46.67	46.67	False
celegans_t100	quant8b	8	4.035	58.96	58.96	58.96	False
celegans_t100	quant10b	10	6.9574	71.03	71.03	71.02	False
celegans_t100	quant12b	12	9.0175	83.08	83.08	83.08	False
celegans_t100	quant16b	16	10.8825	107.17	107.17	107.17	False
celegans_t100	gsplats	1000	0.0291	38.37	38.37	38.35	True
celegans_t100	gsplats	2000	0.0589	38.95	38.96	38.9	True
celegans_t100	gsplats	4000	0.118	39.23	39.23	39.19	True
celegans_t100	gsplats	8000	0.2365	39.31	39.31	39.26	True
celegans_t100	gsplats	16000	0.4733	39.36	39.36	39.26	True
celegans_t100	gsplats	32000	0.9472	39.39	39.39	39.25	True
celegans_t100	gsplats	64000	1.8957	39.44	39.45	39.22	True
celegans_t100	gsplats	128000	3.7908	39.55	39.57	39.17	True
celegans_t100	gsplats	256000	7.578	39.88	39.93	39.02	True
celegans_t100	gsplats	512000	15.1498	40.27	40.35	38.91	True
celegans_t100	noise_floor	ref	0.0	40.7284	40.7284	40.7284	False
tribolium	quant4b	4	0.2656	34.13	34.13	34.13	False
tribolium	quant6b	6	0.7976	46.58	46.58	46.58	False
tribolium	quant8b	8	2.07	58.95	58.95	58.95	False
tribolium	quant10b	10	4.9163	71.01	71.01	71.01	False
tribolium	quant12b	12	7.4953	83.06	83.06	83.06	False
tribolium	quant16b	16	9.4163	107.14	107.14	107.14	False
tribolium	gsplats	1000	0.0032	29.93	29.93	29.93	True
tribolium	gsplats	2000	0.0063	31.38	31.38	31.39	True
tribolium	gsplats	4000	0.0126	37.33	37.33	37.32	True
tribolium	gsplats	8000	0.0249	40.08	40.08	40.05	True
tribolium	gsplats	16000	0.0509	41.94	41.94	41.93	True
tribolium	gsplats	32000	0.1022	42.62	42.62	42.62	True
tribolium	gsplats	64000	0.2085	42.7	42.7	42.71	True
tribolium	gsplats	128000	0.4101	42.7	42.7	42.73	True
tribolium	gsplats	256000	0.8249	42.66	42.66	42.72	True
tribolium	gsplats	512000	1.6414	42.69	42.68	42.78	True
tribolium	noise_floor	ref	0.0	61.0317	61.0317	61.0317	False
opencell_map4_ch0	quant4b	4	1.9147	33.95	33.95	33.95	False
opencell_map4_ch0	quant6b	6	3.5831	46.8	46.8	46.8	False
opencell_map4_ch0	quant8b	8	5.5005	58.99	58.99	58.99	False
opencell_map4_ch0	quant10b	10	8.7178	71.05	71.05	71.06	False
opencell_map4_ch0	quant12b	12	10.5379	83.1	83.1	83.1	False
opencell_map4_ch0	quant16b	16	13.7464	107.19	107.19	107.2	False
opencell_map4_ch0	gsplats	1000	0.0153	25.22	25.22	25.21	True
opencell_map4_ch0	gsplats	2000	0.0338	26.32	26.32	26.26	True
opencell_map4_ch0	gsplats	4000	0.0673	27.27	27.28	27.21	True
opencell_map4_ch0	gsplats	8000	0.1409	27.88	27.88	27.78	True
opencell_map4_ch0	gsplats	16000	0.2842	28.16	28.17	27.95	True
opencell_map4_ch0	gsplats	32000	0.5635	28.33	28.35	27.96	True
opencell_map4_ch0	gsplats	64000	1.0969	28.54	28.58	27.87	True
opencell_map4_ch0	gsplats	128000	2.1845	28.87	28.94	27.79	True
opencell_map4_ch0	gsplats	256000	4.3746	29.4	29.51	27.69	True
opencell_map4_ch0	gsplats	512000	8.7819	29.78	29.93	27.61	True
opencell_map4_ch0	noise_floor	ref	0.0	32.6144	32.6144	32.6144	False
