dataset	method	knob	bpv	compressed_bytes	psnr_raw	psnr_heldout	renderable
kidney_dapi	h265	51	0.0428	22437	26.43	26.29	False
kidney_dapi	h265	45	0.0955	50088	29.35	28.9	False
kidney_dapi	h265	40	0.1872	98148	32.06	30.78	False
kidney_dapi	h265	35	0.3632	190406	34.98	31.76	False
kidney_dapi	h265	30	0.7081	371227	37.65	31.5	False
kidney_dapi	h265	25	1.3393	702189	40.06	30.93	False
kidney_dapi	h265	20	2.209	1158136	41.83	30.54	False
kidney_dapi	h265	15	3.1779	1666145	42.72	30.31	False
kidney_dapi	h265	10	4.1207	2160435	42.99	30.18	False
kidney_dapi	h265	5	4.6562	2441168	43.03	30.11	False
kidney_dapi	h265	0	9.7089	5090274	43.0	29.99	False
kidney_dapi	gsplats	1000	0.0716	37520	22.54	22.48	True
kidney_dapi	gsplats	2000	0.1482	77720	24.22	24.16	True
kidney_dapi	gsplats	4000	0.3019	158280	26.48	26.37	True
kidney_dapi	gsplats	8000	0.605	317200	29.52	29.2	True
kidney_dapi	gsplats	16000	1.2157	637360	31.75	31.19	True
kidney_dapi	gsplats	32000	2.4155	1266440	33.64	32.61	True
kidney_dapi	gsplats	64000	4.8097	2521680	35.44	33.63	True
kidney_dapi	gsplats	128000	9.5528	5008400	36.23	33.36	True
kidney_dapi	gsplats	256000	19.2077	10070360	36.44	32.54	True
kidney_dapi	gsplats	512000	38.5527	20212720	36.77	31.44	True
kidney_dapi	noise_floor	ref	0.0	0	41.3421	41.3421	False
kidney_actin	h265	51	0.0545	28591	24.19	24.02	False
kidney_actin	h265	45	0.1501	78684	27.36	26.43	False
kidney_actin	h265	40	0.3202	167899	30.55	27.79	False
kidney_actin	h265	35	0.6155	322713	33.77	27.95	False
kidney_actin	h265	30	1.0648	558282	36.5	27.45	False
kidney_actin	h265	25	1.6843	883056	38.22	26.95	False
kidney_actin	h265	20	2.4484	1283675	38.98	26.62	False
kidney_actin	h265	15	3.3412	1751746	39.21	26.42	False
kidney_actin	h265	10	4.2348	2220253	39.25	26.31	False
kidney_actin	h265	5	4.672	2449482	39.23	26.26	False
kidney_actin	h265	0	9.3957	4926043	39.17	26.15	False
kidney_actin	gsplats	1000	0.0719	37720	21.04	21.08	True
kidney_actin	gsplats	2000	0.1478	77480	22.25	22.3	True
kidney_actin	gsplats	4000	0.2994	156960	24.0	23.97	True
kidney_actin	gsplats	8000	0.5989	314000	26.08	25.88	True
kidney_actin	gsplats	16000	1.2067	632640	28.38	27.85	True
kidney_actin	gsplats	32000	2.3922	1254200	30.4	29.26	True
kidney_actin	gsplats	64000	4.765	2498240	32.84	30.51	True
kidney_actin	gsplats	128000	9.4837	4972200	34.89	30.81	True
kidney_actin	gsplats	256000	19.0356	9980120	35.87	29.9	True
kidney_actin	gsplats	512000	38.329	20095440	35.89	28.35	True
kidney_actin	noise_floor	ref	0.0	0	43.4717	43.4717	False
organoid_ch0	h265	51	0.0098	21652	33.94	33.82	False
organoid_ch0	h265	45	0.0172	37756	35.93	35.61	False
organoid_ch0	h265	40	0.0374	82325	37.5	36.5	False
organoid_ch0	h265	35	0.1057	232363	39.67	36.62	False
organoid_ch0	h265	30	0.2567	564282	42.34	36.73	False
organoid_ch0	h265	25	0.519	1140973	44.79	36.81	False
organoid_ch0	h265	20	1.0167	2235176	46.92	36.84	False
organoid_ch0	h265	15	1.7512	3850070	48.51	36.84	False
organoid_ch0	h265	10	2.5189	5537780	49.32	36.83	False
organoid_ch0	h265	5	2.8828	6337813	49.5	36.83	False
organoid_ch0	h265	0	5.9895	13167920	49.82	36.8	False
organoid_ch0	gsplats	1000	0.0171	37520	32.64	32.57	True
organoid_ch0	gsplats	2000	0.0333	73280	34.5	34.41	True
organoid_ch0	gsplats	4000	0.0652	143440	36.34	36.12	True
