dataset	n_passes	splats_budget	iters_budget	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	fit_time_s	timestamp
acto3d_heart_nuclei	1	32000	10000	30167	31.9595	0.824956	0.00063687	0.274137	0.595122	426.29	2026-04-12T13:24:13
acto3d_heart_nuclei	1	32000	10000	30172	31.9435	0.824601	0.00063923	0.274642	0.595106	403.36	2026-04-12T13:24:23
acto3d_heart_nuclei	2	32000	10000	27030	32.8445	0.858065	0.00051946	0.247581	0.896197	222.67	2026-04-12T13:27:59
acto3d_heart_nuclei	2	32000	10000	26999	32.8575	0.858453	0.00051790	0.247208	0.847447	213.17	2026-04-12T13:27:59
acto3d_heart_nuclei	1	32000	10000	30183	31.9317	0.824395	0.00064096	0.275014	0.513726	501.93	2026-04-12T13:29:03
acto3d_heart_nuclei	4	32000	10000	28907	32.6532	0.848811	0.00054285	0.253093	0.840650	250.43	2026-04-12T13:32:12
acto3d_heart_nuclei	4	32000	10000	28933	32.6535	0.848642	0.00054281	0.253084	0.823916	250.74	2026-04-12T13:32:14
acto3d_heart_nuclei	2	32000	10000	27002	32.8191	0.857794	0.00052250	0.248304	0.869882	262.83	2026-04-12T13:33:30
acto3d_heart_nuclei	8	32000	10000	30337	31.1286	0.814208	0.00077116	0.301656	0.941392	287.71	2026-04-12T13:37:04
acto3d_heart_nuclei	8	32000	10000	30326	31.1137	0.813641	0.00077381	0.302173	0.898532	293.13	2026-04-12T13:37:10
acto3d_heart_nuclei	4	32000	10000	28955	32.6310	0.848074	0.00054564	0.253742	0.842051	228.00	2026-04-12T13:37:20
acto3d_heart_nuclei	8	32000	10000	30341	31.1070	0.813731	0.00077500	0.302407	0.919500	114.31	2026-04-12T13:39:17
