dataset	n_passes	splats_budget	iters_budget	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	fit_time_s	timestamp
tribolium	1	32000	10000	31771	42.6126	0.993139	0.00005479	0.076249	0.106904	642.19	2026-04-12T12:59:36
tribolium	1	32000	10000	31771	42.6022	0.993114	0.00005493	0.076341	0.109681	672.90	2026-04-12T13:00:22
tribolium	2	32000	10000	30552	43.8367	0.993814	0.00004134	0.066226	0.125137	251.73	2026-04-12T13:03:51
tribolium	1	32000	10000	31772	42.6071	0.993125	0.00005486	0.076298	0.106284	823.66	2026-04-12T13:04:00
tribolium	2	32000	10000	30543	43.8393	0.993830	0.00004131	0.066207	0.128417	252.24	2026-04-12T13:04:38
tribolium	2	32000	10000	30540	43.8424	0.993836	0.00004128	0.066183	0.145028	318.33	2026-04-12T13:09:21
tribolium	4	32000	10000	30279	42.8635	0.992859	0.00005172	0.074079	0.198758	400.60	2026-04-12T13:10:36
tribolium	4	32000	10000	30282	42.8477	0.992839	0.00005191	0.074214	0.197326	392.18	2026-04-12T13:11:15
tribolium	4	32000	10000	30260	42.8627	0.992883	0.00005173	0.074085	0.199301	378.06	2026-04-12T13:15:43
tribolium	8	32000	10000	30077	41.1029	0.990680	0.00007757	0.090724	0.220248	364.27	2026-04-12T13:16:45
tribolium	8	32000	10000	30133	41.1068	0.990730	0.00007750	0.090683	0.213433	358.60	2026-04-12T13:17:17
tribolium	8	32000	10000	30120	41.1036	0.990713	0.00007756	0.090717	0.222674	273.33	2026-04-12T13:20:19
