dataset	seeds_requested	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	compression_ratio	fit_time_s	n_iters_actual	converged	timestamp
acto3d_heart_nuclei	1000	879	26.3709	0.703805	0.00230627	0.521669	0.988267	11345.04	51.83	2400	False	2026-04-12T04:10:23
acto3d_heart_nuclei	2000	1867	26.6986	0.717301	0.00213864	0.502353	1.000000	5341.34	43.38	2200	False	2026-04-12T04:11:12
acto3d_heart_nuclei	4000	3357	28.4804	0.747193	0.00141893	0.409186	0.979583	2970.60	38.83	2200	False	2026-04-12T04:11:57
acto3d_heart_nuclei	8000	7624	29.7188	0.774666	0.00106690	0.354814	0.649522	1308.01	30.11	2650	False	2026-04-12T04:12:34
acto3d_heart_nuclei	16000	15107	30.7098	0.795859	0.00084923	0.316557	0.647547	660.11	92.54	4200	False	2026-04-12T04:14:13
acto3d_heart_nuclei	32000	30182	31.9369	0.824434	0.00064019	0.274849	0.522379	330.41	62.21	6025	False	2026-04-12T04:15:24
acto3d_heart_nuclei	64000	62023	33.0729	0.860130	0.00049284	0.241154	0.531307	160.78	371.22	20000	False	2026-04-12T04:21:47
acto3d_heart_nuclei	128000	118174	35.8855	0.910185	0.00025790	0.174448	0.528511	84.39	364.62	20000	False	2026-04-12T04:28:09
acto3d_heart_nuclei	256000	211532	38.5062	0.951066	0.00014105	0.129012	0.514664	47.14	340.42	20000	False	2026-04-12T04:34:21
acto3d_heart_nuclei	512000	400701	40.7027	0.976341	0.00008506	0.100186	0.488290	24.89	328.06	20000	False	2026-04-12T04:40:46
