dataset	seeds_requested	n_splats_final	mask_fraction	held_out_mse	held_out_psnr_db	train_mse	train_psnr_db	full_mse	full_psnr_db	fit_time_s	n_iters_actual	timestamp
acto3d_heart_nuclei	1000	883	0.0500	0.00230663	26.3702	0.00230906	26.3657	0.00230893	26.3659	0.00	0	2026-04-15T23:46:11
acto3d_heart_nuclei	2000	1865	0.0500	0.00214235	26.6911	0.00214378	26.6882	0.00214371	26.6883	0.00	0	2026-04-15T23:46:13
acto3d_heart_nuclei	4000	3380	0.0500	0.00142523	28.4612	0.00142419	28.4643	0.00142424	28.4642	0.00	0	2026-04-15T23:46:15
acto3d_heart_nuclei	8000	7630	0.0500	0.00106451	29.7285	0.00106275	29.7357	0.00106284	29.7353	0.00	0	2026-04-15T23:46:16
acto3d_heart_nuclei	16000	15170	0.0500	0.00086304	30.6397	0.00085961	30.6570	0.00085978	30.6561	0.00	0	2026-04-15T23:46:17
acto3d_heart_nuclei	32000	30150	0.0500	0.00063824	31.9502	0.00063317	31.9848	0.00063342	31.9831	0.00	0	2026-04-15T23:46:19
acto3d_heart_nuclei	64000	62027	0.0500	0.00050084	33.0030	0.00049188	33.0814	0.00049233	33.0774	0.00	0	2026-04-15T23:46:20
acto3d_heart_nuclei	128000	118220	0.0500	0.00026308	35.7991	0.00025655	35.9083	0.00025688	35.9027	0.00	0	2026-04-15T23:46:22
acto3d_heart_nuclei	256000	212186	0.0500	0.00014688	38.3303	0.00014217	38.4720	0.00014240	38.4648	0.00	0	2026-04-15T23:46:23
acto3d_heart_nuclei	512000	400812	0.0500	0.00008991	40.4618	0.00008535	40.6882	0.00008557	40.6766	0.00	0	2026-04-15T23:46:25
