dataset	seeds_requested	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	compression_ratio	fit_time_s	n_iters_actual	converged	timestamp
celegans_t100	1000	978	38.3898	0.881526	0.00014488	0.417640	0.932278	1098.97	0.00	0	False	2026-04-15T23:41:23
celegans_t100	2000	1976	38.9922	0.887351	0.00012612	0.389656	0.765903	543.92	0.00	0	False	2026-04-15T23:41:24
celegans_t100	4000	3970	39.1930	0.889279	0.00012042	0.380752	0.205932	270.73	0.00	0	False	2026-04-15T23:41:24
celegans_t100	8000	7947	39.2927	0.891420	0.00011769	0.376404	0.325282	135.24	0.00	0	False	2026-04-15T23:41:25
celegans_t100	16000	15900	39.3193	0.892162	0.00011697	0.375256	0.211726	67.60	0.00	0	False	2026-04-15T23:41:25
celegans_t100	32000	31815	39.3436	0.892806	0.00011632	0.374207	0.213907	33.78	0.00	0	False	2026-04-15T23:41:26
celegans_t100	64000	63668	39.4328	0.895347	0.00011395	0.370383	0.204130	16.88	0.00	0	False	2026-04-15T23:41:26
celegans_t100	128000	127304	39.5473	0.898511	0.00011099	0.365532	0.225084	8.44	0.00	0	False	2026-04-15T23:41:27
celegans_t100	256000	254402	39.9754	0.909262	0.00010057	0.347953	0.204371	4.22	0.00	0	False	2026-04-15T23:41:28
celegans_t100	512000	508611	40.4014	0.918989	0.00009117	0.331301	0.303420	2.11	0.00	0	False	2026-04-15T23:41:28
