dataset	seeds_requested	n_splats_final	mask_fraction	held_out_mse	held_out_psnr_db	train_mse	train_psnr_db	full_mse	full_psnr_db	fit_time_s	n_iters_actual	timestamp
celegans_t100	1000	977	0.0500	0.00014627	38.3484	0.00014562	38.3677	0.00014566	38.3667	0.00	0	2026-04-15T23:41:40
celegans_t100	2000	1979	0.0500	0.00012922	38.8867	0.00012758	38.9423	0.00012766	38.9395	0.00	0	2026-04-15T23:41:41
celegans_t100	4000	3963	0.0500	0.00012088	39.1766	0.00011977	39.2164	0.00011983	39.2144	0.00	0	2026-04-15T23:41:41
celegans_t100	8000	7942	0.0500	0.00011951	39.2258	0.00011793	39.2837	0.00011801	39.2807	0.00	0	2026-04-15T23:41:41
celegans_t100	16000	15898	0.0500	0.00011924	39.2357	0.00011659	39.3336	0.00011672	39.3286	0.00	0	2026-04-15T23:41:42
celegans_t100	32000	31815	0.0500	0.00011979	39.2158	0.00011590	39.3593	0.00011609	39.3520	0.00	0	2026-04-15T23:41:42
celegans_t100	64000	63672	0.0500	0.00011960	39.2226	0.00011357	39.4474	0.00011387	39.4359	0.00	0	2026-04-15T23:41:42
celegans_t100	128000	127323	0.0500	0.00012102	39.1713	0.00011041	39.5699	0.00011094	39.5491	0.00	0	2026-04-15T23:41:42
celegans_t100	256000	254523	0.0500	0.00012538	39.0178	0.00010166	39.9284	0.00010285	39.8780	0.00	0	2026-04-15T23:41:43
celegans_t100	512000	508838	0.0500	0.00012841	38.9139	0.00009225	40.3505	0.00009405	40.2662	0.00	0	2026-04-15T23:41:43
