dataset	seeds_requested	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	compression_ratio	fit_time_s	n_iters_actual	converged	timestamp
cells3d_membrane	1000	962	37.2064	0.906726	0.00019027	0.272766	0.568487	408.75	11.32	1550	False	2026-04-12T02:22:34
cells3d_membrane	2000	2037	39.5140	0.939103	0.00011184	0.209127	0.263953	193.04	10.48	1700	False	2026-04-12T02:22:45
cells3d_membrane	4000	3963	41.8718	0.962092	0.00006499	0.159413	0.208178	99.22	50.17	8375	False	2026-04-12T02:23:36
cells3d_membrane	8000	8099	43.9694	0.976600	0.00004009	0.125211	0.165472	48.55	118.34	20000	False	2026-04-12T02:25:35
cells3d_membrane	16000	15889	45.6073	0.985144	0.00002750	0.103693	0.107043	24.75	16.40	2750	False	2026-04-12T02:25:53
cells3d_membrane	32000	31836	46.5456	0.988941	0.00002215	0.093074	0.095697	12.35	13.65	2300	False	2026-04-12T02:26:10
cells3d_membrane	64000	63722	47.2035	0.991867	0.00001904	0.086285	0.059293	6.17	12.45	2050	False	2026-04-12T02:26:26
cells3d_membrane	128000	127506	47.6543	0.993612	0.00001716	0.081922	0.049978	3.08	14.25	2350	False	2026-04-12T02:26:44
cells3d_membrane	256000	255052	48.1049	0.994925	0.00001547	0.077779	0.031020	1.54	125.73	20000	False	2026-04-12T02:28:55
cells3d_membrane	512000	510135	48.3253	0.995772	0.00001471	0.075830	0.033472	0.77	26.11	3300	False	2026-04-12T02:29:31
