dataset	seeds_requested	n_splats_final	mask_fraction	held_out_mse	held_out_psnr_db	train_mse	train_psnr_db	full_mse	full_psnr_db	fit_time_s	n_iters_actual	timestamp
cells3d_membrane	1000	965	0.0499	0.00019188	37.1698	0.00019157	37.1767	0.00019159	37.1764	11.28	1600	2026-04-12T02:29:49
cells3d_membrane	2000	2037	0.0499	0.00011569	39.3672	0.00011312	39.4648	0.00011324	39.4599	10.34	1750	2026-04-12T02:30:00
cells3d_membrane	4000	3963	0.0499	0.00006720	41.7261	0.00006387	41.9468	0.00006404	41.9355	22.76	3875	2026-04-12T02:30:24
cells3d_membrane	8000	8100	0.0499	0.00004254	43.7118	0.00003937	44.0482	0.00003953	44.0308	12.46	2100	2026-04-12T02:30:37
cells3d_membrane	16000	15890	0.0499	0.00003117	45.0627	0.00002715	45.6626	0.00002735	45.6306	13.08	2200	2026-04-12T02:30:52
cells3d_membrane	32000	31833	0.0499	0.00002818	45.5013	0.00002180	46.6161	0.00002212	46.5531	13.73	2300	2026-04-12T02:31:08
cells3d_membrane	64000	63717	0.0499	0.00002811	45.5109	0.00001884	47.2502	0.00001930	47.1447	13.27	2250	2026-04-12T02:31:25
cells3d_membrane	128000	127500	0.0499	0.00003044	45.1653	0.00001714	47.6594	0.00001781	47.4943	13.70	2300	2026-04-12T02:31:43
cells3d_membrane	256000	255022	0.0499	0.00003973	44.0088	0.00001544	48.1131	0.00001665	47.7848	17.75	2800	2026-04-12T02:32:06
cells3d_membrane	512000	510101	0.0499	0.00004339	43.6262	0.00001468	48.3327	0.00001611	47.9281	25.79	3300	2026-04-12T02:32:42
