dataset	seeds_requested	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	compression_ratio	fit_time_s	n_iters_actual	converged	timestamp
cells3d_nuclei	1000	952	31.2753	0.759850	0.00074555	0.217673	0.403045	413.04	0.00	0	False	2026-04-15T23:39:47
cells3d_nuclei	2000	2035	32.6077	0.794444	0.00054857	0.186718	0.266212	193.23	0.00	0	False	2026-04-15T23:39:48
cells3d_nuclei	4000	3976	33.6712	0.824192	0.00042942	0.165199	0.230194	98.90	0.00	0	False	2026-04-15T23:39:48
cells3d_nuclei	8000	8128	34.4636	0.844886	0.00035780	0.150796	0.194948	48.38	0.00	0	False	2026-04-15T23:39:48
cells3d_nuclei	16000	15932	35.0150	0.860380	0.00031514	0.141521	0.211653	24.68	0.00	0	False	2026-04-15T23:39:48
cells3d_nuclei	32000	31878	35.4356	0.871421	0.00028605	0.134830	0.168155	12.34	0.00	0	False	2026-04-15T23:39:49
cells3d_nuclei	64000	63774	35.8578	0.882620	0.00025955	0.128433	0.161010	6.17	0.00	0	False	2026-04-15T23:39:49
cells3d_nuclei	128000	127587	36.3025	0.898775	0.00023429	0.122024	0.155219	3.08	0.00	0	False	2026-04-15T23:39:49
cells3d_nuclei	256000	255168	37.5031	0.930491	0.00017770	0.106271	0.128499	1.54	0.00	0	False	2026-04-15T23:39:49
cells3d_nuclei	512000	510050	39.2125	0.972823	0.00011988	0.087286	0.110323	0.77	0.00	0	False	2026-04-15T23:39:50
