dataset	seeds_requested	n_splats_final	mask_fraction	held_out_mse	held_out_psnr_db	train_mse	train_psnr_db	full_mse	full_psnr_db	fit_time_s	n_iters_actual	timestamp
cells3d_nuclei	1000	960	0.0499	0.00075900	31.1976	0.00075093	31.2440	0.00075133	31.2417	0.00	0	2026-04-15T23:39:58
cells3d_nuclei	2000	2024	0.0499	0.00054937	32.6014	0.00053918	32.6827	0.00053968	32.6786	0.00	0	2026-04-15T23:39:59
cells3d_nuclei	4000	3975	0.0499	0.00044010	33.5645	0.00042910	33.6744	0.00042965	33.6688	0.00	0	2026-04-15T23:39:59
cells3d_nuclei	8000	8129	0.0499	0.00037642	34.2432	0.00035681	34.4756	0.00035779	34.4637	0.00	0	2026-04-15T23:39:59
cells3d_nuclei	16000	15932	0.0499	0.00034549	34.6157	0.00031494	35.0177	0.00031647	34.9967	0.00	0	2026-04-15T23:39:59
cells3d_nuclei	32000	31876	0.0499	0.00033679	34.7263	0.00028757	35.4126	0.00029002	35.3757	0.00	0	2026-04-15T23:39:59
cells3d_nuclei	64000	63772	0.0499	0.00033648	34.7304	0.00025760	35.8905	0.00026154	35.8246	0.00	0	2026-04-15T23:39:59
cells3d_nuclei	128000	127592	0.0499	0.00034739	34.5918	0.00023660	36.2598	0.00024213	36.1595	0.00	0	2026-04-15T23:40:00
cells3d_nuclei	256000	255173	0.0499	0.00036137	34.4205	0.00017718	37.5158	0.00018638	37.2960	0.00	0	2026-04-15T23:40:00
cells3d_nuclei	512000	510066	0.0499	0.00036023	34.4342	0.00012094	39.1744	0.00013289	38.7652	0.00	0	2026-04-15T23:40:00
