dataset	seeds_requested	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	compression_ratio	fit_time_s	n_iters_actual	converged	timestamp
kidney_actin	1000	940	21.0526	0.473225	0.00784759	0.441512	0.941239	446.20	9.95	1400	False	2026-04-12T02:02:07
kidney_actin	2000	1942	22.2704	0.569174	0.00592870	0.383755	0.948221	215.98	9.31	1550	False	2026-04-12T02:02:17
kidney_actin	4000	3922	23.9775	0.658056	0.00400179	0.315284	0.862816	106.94	11.47	1950	False	2026-04-12T02:02:30
kidney_actin	8000	7847	26.1002	0.756634	0.00245458	0.246924	0.750439	53.45	11.79	2000	False	2026-04-12T02:02:43
kidney_actin	16000	15808	28.4765	0.843355	0.00142019	0.187822	0.614762	26.53	12.49	2150	False	2026-04-12T02:02:57
kidney_actin	32000	31340	30.5434	0.895514	0.00088239	0.148049	0.522412	13.38	16.34	2750	False	2026-04-12T02:03:16
kidney_actin	64000	62453	33.1317	0.956756	0.00048622	0.109898	0.446352	6.72	69.78	12050	False	2026-04-12T02:04:32
kidney_actin	128000	124259	35.4052	0.985007	0.00028806	0.084589	0.397058	3.38	114.85	20000	False	2026-04-12T02:06:40
kidney_actin	256000	249324	36.7041	0.992860	0.00021359	0.072840	0.317322	1.68	24.95	3800	False	2026-04-12T02:07:36
kidney_actin	512000	502672	37.1020	0.994579	0.00019489	0.069578	0.240093	0.83	33.03	4150	False	2026-04-12T02:08:43
