dataset	seeds_requested	n_splats_final	mask_fraction	held_out_mse	held_out_psnr_db	train_mse	train_psnr_db	full_mse	full_psnr_db	fit_time_s	n_iters_actual	timestamp
kidney_actin	1000	943	0.0500	0.00780630	21.0755	0.00787697	21.0364	0.00787344	21.0384	10.50	1450	2026-04-12T02:09:01
kidney_actin	2000	1937	0.0500	0.00588760	22.3006	0.00595846	22.2487	0.00595492	22.2512	9.90	1650	2026-04-12T02:09:11
kidney_actin	4000	3924	0.0500	0.00401025	23.9683	0.00397735	24.0041	0.00397900	24.0023	11.54	2000	2026-04-12T02:09:24
kidney_actin	8000	7850	0.0500	0.00258313	25.8785	0.00245953	26.0915	0.00246571	26.0806	11.79	2000	2026-04-12T02:09:36
kidney_actin	16000	15816	0.0500	0.00164203	27.8462	0.00144118	28.4128	0.00145122	28.3827	13.28	2250	2026-04-12T02:09:51
kidney_actin	32000	31355	0.0500	0.00118453	29.2645	0.00089711	30.4715	0.00091148	30.4025	16.03	2700	2026-04-12T02:10:10
kidney_actin	64000	62456	0.0500	0.00088996	30.5063	0.00050088	33.0027	0.00052032	32.8373	33.28	5650	2026-04-12T02:10:49
kidney_actin	128000	124305	0.0500	0.00083076	30.8053	0.00029762	35.2634	0.00032427	34.8910	19.68	3350	2026-04-12T02:11:23
kidney_actin	256000	249503	0.0500	0.00102220	29.9046	0.00021885	36.5986	0.00025900	35.8670	25.13	3850	2026-04-12T02:12:21
kidney_actin	512000	502386	0.0500	0.00146252	28.3490	0.00019446	37.1118	0.00025783	35.8866	35.38	4450	2026-04-12T02:13:31
