dataset	seeds_requested	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	compression_ratio	fit_time_s	n_iters_actual	converged	timestamp
kidney_dapi	1000	944	22.5209	0.608310	0.00559636	0.403032	0.901130	444.31	0.00	0	False	2026-04-15T23:38:53
kidney_dapi	2000	1961	24.2233	0.713016	0.00378152	0.331299	0.833219	213.89	0.00	0	False	2026-04-15T23:38:53
kidney_dapi	4000	3953	26.4280	0.813686	0.00227615	0.257032	0.656727	106.10	0.00	0	False	2026-04-15T23:38:53
kidney_dapi	8000	7926	29.5478	0.903610	0.00110974	0.179473	0.545769	52.92	0.00	0	False	2026-04-15T23:38:54
kidney_dapi	16000	15932	31.8003	0.943055	0.00066064	0.138475	0.414368	26.33	0.00	0	False	2026-04-15T23:38:54
kidney_dapi	32000	31654	33.6799	0.962060	0.00042856	0.111530	0.318818	13.25	0.00	0	False	2026-04-15T23:38:55
kidney_dapi	64000	63046	35.5169	0.977864	0.00028075	0.090270	0.247383	6.65	0.00	0	False	2026-04-15T23:38:55
kidney_dapi	128000	125200	36.4079	0.983771	0.00022867	0.081469	0.177374	3.35	0.00	0	False	2026-04-15T23:38:55
kidney_dapi	256000	251712	36.7331	0.986897	0.00021217	0.078475	0.184516	1.67	0.00	0	False	2026-04-15T23:38:56
kidney_dapi	512000	505368	37.3091	0.990739	0.00018582	0.073440	0.131759	0.83	0.00	0	False	2026-04-15T23:38:56
