dataset	seeds_requested	n_splats_final	mask_fraction	held_out_mse	held_out_psnr_db	train_mse	train_psnr_db	full_mse	full_psnr_db	fit_time_s	n_iters_actual	timestamp
kidney_dapi	1000	938	0.0500	0.00565092	22.4788	0.00556236	22.5474	0.00556679	22.5440	0.00	0	2026-04-15T23:39:05
kidney_dapi	2000	1943	0.0500	0.00383472	24.1627	0.00378379	24.2207	0.00378633	24.2178	0.00	0	2026-04-15T23:39:05
kidney_dapi	4000	3957	0.0500	0.00231027	26.3634	0.00224424	26.4893	0.00224754	26.4829	0.00	0	2026-04-15T23:39:05
kidney_dapi	8000	7930	0.0500	0.00120277	29.1982	0.00111134	29.5415	0.00111591	29.5237	0.00	0	2026-04-15T23:39:05
kidney_dapi	16000	15934	0.0500	0.00076076	31.1875	0.00066428	31.7765	0.00066910	31.7451	0.00	0	2026-04-15T23:39:06
kidney_dapi	32000	31661	0.0500	0.00054848	32.6084	0.00042730	33.6927	0.00043336	33.6316	0.00	0	2026-04-15T23:39:06
kidney_dapi	64000	63042	0.0500	0.00043405	33.6246	0.00027858	35.5505	0.00028635	35.4310	0.00	0	2026-04-15T23:39:06
kidney_dapi	128000	125210	0.0500	0.00046180	33.3554	0.00022719	36.4361	0.00023892	36.2176	0.00	0	2026-04-15T23:39:06
kidney_dapi	256000	251759	0.0500	0.00055751	32.5375	0.00021082	36.7609	0.00022815	36.4179	0.00	0	2026-04-15T23:39:06
kidney_dapi	512000	505318	0.0500	0.00071938	31.4304	0.00018494	37.3296	0.00021165	36.7437	0.00	0	2026-04-15T23:39:07
