dataset	sigma_laplacian	sigma_mad_haar	sigma_mad_wavelet	sigma_background	sigma_ensemble	noise_variance	psnr_max_db	volume_shape	methods_used	timestamp
opencell_map4_ch0	0.02340346	0.02474403	None	0.00389489	0.02340346	0.0005477218	32.6144	51x600x600	background,laplacian,mad_haar	2026-04-12T05:12:35
opencell_map4_ch1	0.03003045	0.03222999	None	0.00495846	0.03003045	0.0009018280	30.4488	51x600x600	background,laplacian,mad_haar	2026-04-12T05:12:37
kidney_dapi	0.00856826	0.00889186	None	0.00689572	0.00856826	0.0000734151	41.3421	16x512x512	background,laplacian,mad_haar	2026-04-12T05:12:37
kidney_actin	0.00670524	0.00748593	None	0.00438201	0.00670524	0.0000449603	43.4717	16x512x512	background,laplacian,mad_haar	2026-04-12T05:12:38
organoid_ch0	0.00190080	0.00217387	None	0.00000000	0.00190080	0.0000036130	54.4213	236x275x271	background,laplacian,mad_haar	2026-04-12T05:12:44
celegans_t100	0.00919562	0.00933738	None	0.00219703	0.00919562	0.0000845595	40.7284	41x512x512	background,laplacian,mad_haar	2026-04-12T05:12:45
tribolium	0.00088800	0.00084632	None	0.00304675	0.00088800	0.0000007885	61.0317	991x104x965	background,laplacian,mad_haar	2026-04-12T05:13:40
opencell_lmnb1_ch0	0.03175941	0.03376809	None	0.00522601	0.03175941	0.0010086604	29.9626	112x600x600	background,laplacian,mad_haar	2026-04-12T05:13:44
opencell_lmnb1_ch1	0.00744983	0.00791765	None	0.00111880	0.00744983	0.0000555000	42.5571	112x600x600	background,laplacian,mad_haar	2026-04-12T05:13:48
cells3d_nuclei	0.01322650	0.01341527	None	0.00536158	0.01322650	0.0001749403	37.5711	60x256x256	background,laplacian,mad_haar	2026-04-12T05:13:49
cells3d_membrane	0.00216078	0.00210391	None	0.00199080	0.00210391	0.0000044264	53.5394	60x256x256	background,laplacian,mad_haar	2026-04-12T05:13:49
acto3d_heart_nuclei	0.00000000	0.00000000	None	0.00000000	0.00000000	0.0000000000	inf	597x174x960	background,laplacian,mad_haar	2026-04-12T05:13:59
