dataset	seeds_requested	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	compression_ratio	fit_time_s	n_iters_actual	converged	timestamp
opencell_lmnb1_ch0	1000	848	22.8187	0.469844	0.00522552	0.367484	0.915904	4754.72	25.40	1300	False	2026-04-12T01:10:20
opencell_lmnb1_ch0	2000	1843	24.2373	0.491675	0.00376934	0.312109	0.821075	2187.74	26.36	1400	False	2026-04-12T01:10:50
opencell_lmnb1_ch0	4000	3835	24.8283	0.501744	0.00328982	0.291581	0.786005	1051.37	15.76	1350	False	2026-04-12T01:11:09
opencell_lmnb1_ch0	8000	7999	25.2010	0.509291	0.00301923	0.279333	0.681569	504.06	15.95	1350	False	2026-04-12T01:11:29
opencell_lmnb1_ch0	16000	15676	25.3658	0.512243	0.00290686	0.274085	0.692698	257.21	18.93	1400	False	2026-04-12T01:11:52
opencell_lmnb1_ch0	32000	31961	25.4656	0.513565	0.00284082	0.270954	0.716196	126.15	18.03	1450	False	2026-04-12T01:12:16
opencell_lmnb1_ch0	64000	63703	25.5695	0.517947	0.00277367	0.267732	0.763485	63.29	30.47	2600	False	2026-04-12T01:12:55
opencell_lmnb1_ch0	128000	125345	25.7400	0.524422	0.00266685	0.262526	0.883764	32.17	29.65	2300	False	2026-04-12T01:13:38
opencell_lmnb1_ch0	256000	250963	26.0534	0.537793	0.00248118	0.253223	0.876972	16.07	43.54	3450	False	2026-04-12T01:14:49
opencell_lmnb1_ch0	512000	501901	26.5642	0.557943	0.00220589	0.238762	0.822837	8.03	58.21	4050	False	2026-04-12T01:16:51
