dataset	seeds_requested	n_splats_final	mask_fraction	held_out_mse	held_out_psnr_db	train_mse	train_psnr_db	full_mse	full_psnr_db	fit_time_s	n_iters_actual	timestamp
opencell_lmnb1_ch1	1000	732	0.0500	0.00715685	21.4528	0.00719470	21.4299	0.00719281	21.4310	23.61	1750	2026-04-12T01:34:39
opencell_lmnb1_ch1	2000	1724	0.0500	0.00249265	26.0334	0.00251412	25.9961	0.00251305	25.9980	26.98	1700	2026-04-12T01:35:09
opencell_lmnb1_ch1	4000	3669	0.0500	0.00116881	29.3225	0.00117301	29.3070	0.00117280	29.3078	13.92	1550	2026-04-12T01:35:25
opencell_lmnb1_ch1	8000	7809	0.0500	0.00071375	31.4646	0.00071485	31.4579	0.00071479	31.4582	15.11	1700	2026-04-12T01:35:43
opencell_lmnb1_ch1	16000	14845	0.0500	0.00052442	32.8032	0.00051373	32.8926	0.00051427	32.8881	27.07	2250	2026-04-12T01:36:14
opencell_lmnb1_ch1	32000	31097	0.0500	0.00046853	33.2926	0.00044790	33.4881	0.00044894	33.4782	19.30	2000	2026-04-12T01:36:37
opencell_lmnb1_ch1	64000	62063	0.0500	0.00045798	33.3916	0.00042044	33.7629	0.00042232	33.7436	27.19	2650	2026-04-12T01:37:13
opencell_lmnb1_ch1	128000	122030	0.0500	0.00045809	33.3905	0.00039137	34.0741	0.00039470	34.0373	60.07	5100	2026-04-12T01:38:29
opencell_lmnb1_ch1	256000	246124	0.0500	0.00046419	33.3330	0.00035688	34.4748	0.00036224	34.4100	91.73	7100	2026-04-12T01:40:35
opencell_lmnb1_ch1	512000	498889	0.0500	0.00047498	33.2332	0.00031887	34.9639	0.00032667	34.8589	146.54	9750	2026-04-12T01:44:14
