dataset	seeds_requested	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	compression_ratio	fit_time_s	n_iters_actual	converged	timestamp
opencell_map4_ch1	1000	893	21.5235	0.493230	0.00704124	0.443114	0.955407	2055.99	0.00	0	False	2026-04-15T23:36:19
opencell_map4_ch1	2000	1941	22.4411	0.524318	0.00570023	0.398692	0.942265	945.90	0.00	0	False	2026-04-15T23:36:20
opencell_map4_ch1	4000	3819	23.3859	0.558200	0.00458580	0.357601	0.918478	480.75	0.00	0	False	2026-04-15T23:36:21
opencell_map4_ch1	8000	8093	24.2021	0.586951	0.00380004	0.325526	0.833743	226.86	0.00	0	False	2026-04-15T23:36:21
opencell_map4_ch1	16000	16274	24.6993	0.603742	0.00338899	0.307416	0.757505	112.82	0.00	0	False	2026-04-15T23:36:22
opencell_map4_ch1	32000	32359	25.1481	0.619408	0.00305629	0.291936	0.754231	56.74	0.00	0	False	2026-04-15T23:36:23
opencell_map4_ch1	64000	62138	25.5785	0.633273	0.00276787	0.277821	0.741229	29.55	0.00	0	False	2026-04-15T23:36:23
opencell_map4_ch1	128000	125136	26.0693	0.648806	0.00247210	0.262558	0.755247	14.67	0.00	0	False	2026-04-15T23:36:24
opencell_map4_ch1	256000	250818	26.7290	0.671377	0.00212372	0.243355	0.764293	7.32	0.00	0	False	2026-04-15T23:36:25
opencell_map4_ch1	512000	500626	27.5927	0.702787	0.00174074	0.220322	0.728896	3.67	0.00	0	False	2026-04-15T23:36:26
