dataset	seeds_requested	n_splats_final	mask_fraction	held_out_mse	held_out_psnr_db	train_mse	train_psnr_db	full_mse	full_psnr_db	fit_time_s	n_iters_actual	timestamp
opencell_map4_ch1	1000	896	0.0499	0.00717947	21.4391	0.00716225	21.4495	0.00716311	21.4490	11.56	1400	2026-04-12T01:04:21
opencell_map4_ch1	2000	1936	0.0499	0.00570026	22.4411	0.00569002	22.4489	0.00569053	22.4485	8.75	1350	2026-04-12T01:04:32
opencell_map4_ch1	4000	3831	0.0499	0.00463743	23.3372	0.00459987	23.3725	0.00460175	23.3708	8.78	1350	2026-04-12T01:04:42
opencell_map4_ch1	8000	8100	0.0499	0.00386696	24.1263	0.00379881	24.2035	0.00380221	24.1996	9.65	1450	2026-04-12T01:04:54
opencell_map4_ch1	16000	16295	0.0499	0.00352899	24.5235	0.00338615	24.7029	0.00339328	24.6938	12.01	1750	2026-04-12T01:05:08
opencell_map4_ch1	32000	32374	0.0499	0.00331070	24.8008	0.00304654	25.1619	0.00305973	25.1432	12.57	1800	2026-04-12T01:05:24
opencell_map4_ch1	64000	62230	0.0499	0.00322580	24.9136	0.00275292	25.6021	0.00277653	25.5650	18.00	2150	2026-04-12T01:05:49
opencell_map4_ch1	128000	125235	0.0499	0.00324682	24.8854	0.00245780	26.0945	0.00249718	26.0255	22.55	2800	2026-04-12T01:06:26
opencell_map4_ch1	256000	250986	0.0499	0.00333319	24.7714	0.00211545	26.7460	0.00217624	26.6229	30.97	2450	2026-04-12T01:07:30
opencell_map4_ch1	512000	500831	0.0499	0.00340976	24.6728	0.00172079	27.6427	0.00180510	27.4350	40.77	3150	2026-04-12T01:09:30
