dataset	seeds_requested	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	compression_ratio	fit_time_s	n_iters_actual	converged	timestamp
organoid_ch0	1000	947	32.6486	0.893928	0.00054343	0.497778	0.708070	1857.22	15.55	1800	False	2026-04-12T02:33:15
organoid_ch0	2000	1822	34.4816	0.907339	0.00035632	0.403073	0.688868	965.31	13.11	1950	False	2026-04-12T02:33:29
organoid_ch0	4000	3573	36.3320	0.906933	0.00023270	0.325735	0.557336	492.24	37.65	2200	False	2026-04-12T02:34:08
organoid_ch0	8000	7100	37.4497	0.922984	0.00017990	0.286404	0.387338	247.72	14.11	1850	False	2026-04-12T02:34:24
organoid_ch0	16000	13616	38.3076	0.929762	0.00014765	0.259469	0.398898	129.17	39.88	2400	False	2026-04-12T02:35:07
organoid_ch0	32000	28175	39.0247	0.933147	0.00012518	0.238906	0.305306	62.42	14.40	2050	False	2026-04-12T02:35:25
organoid_ch0	64000	56594	39.7686	0.936908	0.00010547	0.219297	0.266174	31.08	16.37	2250	False	2026-04-12T02:35:50
organoid_ch0	128000	119906	40.1524	0.943394	0.00009655	0.209817	0.287997	14.67	21.82	2850	False	2026-04-12T02:36:23
organoid_ch0	256000	244822	40.5411	0.947356	0.00008829	0.200636	0.333773	7.18	168.40	20000	False	2026-04-12T02:39:25
organoid_ch0	512000	497361	40.9995	0.955220	0.00007944	0.190321	0.320424	3.54	204.66	20000	False	2026-04-12T02:43:05
