dataset	seeds_requested	n_splats_final	mask_fraction	held_out_mse	held_out_psnr_db	train_mse	train_psnr_db	full_mse	full_psnr_db	fit_time_s	n_iters_actual	timestamp
organoid_ch0	1000	938	0.0499	0.00055325	32.5708	0.00054438	32.6410	0.00054482	32.6375	0.00	0	2026-04-15T23:41:07
organoid_ch0	2000	1832	0.0499	0.00036222	34.4102	0.00035430	34.5062	0.00035470	34.5014	0.00	0	2026-04-15T23:41:07
organoid_ch0	4000	3586	0.0499	0.00024437	36.1196	0.00023178	36.3493	0.00023240	36.3376	0.00	0	2026-04-15T23:41:08
organoid_ch0	8000	7112	0.0499	0.00019655	37.0654	0.00018005	37.4460	0.00018087	37.4262	0.00	0	2026-04-15T23:41:08
organoid_ch0	16000	13531	0.0499	0.00017442	37.5841	0.00014748	38.3126	0.00014883	38.2732	0.00	0	2026-04-15T23:41:08
organoid_ch0	32000	28174	0.0499	0.00016794	37.7485	0.00012475	39.0398	0.00012690	38.9653	0.00	0	2026-04-15T23:41:09
organoid_ch0	64000	56587	0.0499	0.00017363	37.6037	0.00010515	39.7817	0.00010857	39.6428	0.00	0	2026-04-15T23:41:09
organoid_ch0	128000	119906	0.0499	0.00018044	37.4367	0.00009638	40.1603	0.00010057	39.9753	0.00	0	2026-04-15T23:41:10
organoid_ch0	256000	244949	0.0499	0.00018498	37.3286	0.00008728	40.5906	0.00009216	40.3545	0.00	0	2026-04-15T23:41:10
organoid_ch0	512000	497660	0.0499	0.00019073	37.1957	0.00007835	41.0597	0.00008396	40.7594	0.00	0	2026-04-15T23:41:10
