dataset	seeds_requested	n_splats_final	psnr_db	ssim	mse	rel_l2	max_abs_error	compression_ratio	fit_time_s	n_iters_actual	converged	timestamp
tribolium	4000	3959	37.1535	0.980870	0.00019260	0.142952	0.355094	2512.17	254.92	2250	False	2026-04-12T13:20:11
tribolium	1000	991	29.8798	0.950703	0.00102807	0.330277	0.818837	10036.00	24.93	950	False	2026-04-12T13:42:54
tribolium	2000	1968	31.3133	0.957781	0.00073904	0.280028	0.760216	5053.70	44.34	1450	False	2026-04-12T13:43:45
tribolium	8000	7723	40.2631	0.988526	0.00009412	0.099934	0.266084	1287.80	65.37	2700	False	2026-04-12T13:44:58
tribolium	16000	15813	41.9932	0.991840	0.00006319	0.081886	0.191320	628.96	57.85	2500	False	2026-04-12T13:46:03
tribolium	32000	31770	42.6017	0.993117	0.00005493	0.076345	0.106589	313.05	58.32	2750	False	2026-04-12T13:47:11
tribolium	64000	64790	42.6845	0.993176	0.00005390	0.075621	0.084977	153.51	390.60	20000	False	2026-04-12T13:53:55
tribolium	128000	127448	42.6900	0.993640	0.00005383	0.075573	0.066056	78.04	449.66	20000	False	2026-04-12T14:01:45
tribolium	256000	256377	42.6337	0.993682	0.00005453	0.076065	0.074827	38.79	471.35	20000	False	2026-04-12T14:10:15
tribolium	512000	510114	42.6641	0.993931	0.00005415	0.075798	0.063185	19.50	443.23	16025	False	2026-04-12T14:18:54
