dataset	seeds_requested	n_splats_final	mask_fraction	held_out_mse	held_out_psnr_db	train_mse	train_psnr_db	full_mse	full_psnr_db	fit_time_s	n_iters_actual	timestamp
tribolium	1000	990	0.0500	0.00101606	29.9308	0.00101768	29.9239	0.00101760	29.9242	0.00	0	2026-04-15T23:44:39
tribolium	2000	1966	0.0500	0.00072645	31.3880	0.00072746	31.3819	0.00072741	31.3822	0.00	0	2026-04-15T23:44:41
tribolium	4000	3919	0.0500	0.00018536	37.3199	0.00018474	37.3344	0.00018477	37.3337	0.00	0	2026-04-15T23:44:42
tribolium	8000	7738	0.0500	0.00009892	40.0471	0.00009826	40.0761	0.00009830	40.0747	0.00	0	2026-04-15T23:44:44
tribolium	16000	15812	0.0500	0.00006424	41.9218	0.00006406	41.9340	0.00006407	41.9334	0.00	0	2026-04-15T23:44:45
tribolium	32000	31769	0.0500	0.00005505	42.5927	0.00005503	42.5937	0.00005503	42.5937	0.00	0	2026-04-15T23:44:47
tribolium	64000	64789	0.0500	0.00005383	42.6895	0.00005392	42.6827	0.00005391	42.6830	0.00	0	2026-04-15T23:44:48
tribolium	128000	127446	0.0500	0.00005367	42.7028	0.00005398	42.6778	0.00005396	42.6790	0.00	0	2026-04-15T23:44:50
tribolium	256000	256383	0.0500	0.00005365	42.7041	0.00005443	42.6420	0.00005439	42.6451	0.00	0	2026-04-15T23:44:51
tribolium	512000	510162	0.0500	0.00005294	42.7618	0.00005408	42.6693	0.00005403	42.6739	0.00	0	2026-04-15T23:44:53
